question,answer
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make? The equation to solve this problem is: ( 144.0 * 22.0 ),= 3168.0 3168
Each basket of peaches has 19 red peaches and 4 green peaches. If there are 15 such baskets How many peaches are in the baskets altogether? The equation to solve this problem is: ( ( 19.0 + 4.0 ) * 15.0 ),405
He then went to see the oranges being harvested. He found out that they harvest 82 sacks of ripe oranges and 61 sacks of unripe oranges per day. How many sacks of ripe oranges will they have after 25 days of harvest? The equation to solve this problem is: ( 82.0 * 25.0 ),= 2050 2050
He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges. How many oranges are harvested if they harvest a total of 35 sacks of oranges? The equation to solve this problem is: ( 12.0 * 35.0 ),oranges 420 oranges
He also had 74 aquariums for freshwater animals and 22 aquariums for saltwater animals. Each aquarium has 46 animals in it. How many saltwater animals does Tyler have? The equation to solve this problem is: ( 22.0 * 46.0 ),1012
Lewis earns $ 368 every week during the 1359 weeks of harvest. If he has to pay $ 388 rent every week How much money does he pay as rent during the harvest season? The equation to solve this problem is: ( 388.0 * 1359.0 ),529592
He then went to see the oranges being harvested. He found out that they harvest 28 sacks of ripe oranges and 52 sacks of unripe oranges per day. How many sacks of oranges will they have after 26 days of harvest? The equation to solve this problem is: ( ( 28.0 + 52.0 ) * 26.0 ),1504
The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys. How much money did they make from selling the t-shirts? The equation to solve this problem is: ( 62.0 * 183.0 ),= 11346 11346
Faye was placing her pencils and crayons into 16 rows with 6 crayons and 21 pencils in each row. How many crayons does she have? The equation to solve this problem is: ( 16.0 * 6.0 ),crayons = 96 crayons 96 crayons
Bryan took a look at his books and magazines. If he has 23 books and 61 magazines in each of his 29 bookshelves How many books and magazines does he have in total? The equation to solve this problem is: ( ( 23.0 + 61.0 ) * 29.0 ),2008
Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row. How many crayons does she have? The equation to solve this problem is: ( 7.0 * 30.0 ),crayons = 210 crayons 210 crayons
In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy How many marbles did she have? The equation to solve this problem is: ( 11.0 * 9.0 ),109
An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today. How many shirts did machine make today? The equation to solve this problem is: ( 6.0 * 12.0 ),- ( 6.0 * 5.0 ) = 72 - 30 = 42 42 shirts
After resting they decided to go for a swim. The depth of the water is 16 times Ron's height. Dean is 9 feet taller than Ron. If Ron stands at 13 feet How deep was the water? The equation to solve this problem is: ( 13.0 * 16.0 ),+ 9.0 207
Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days How many bottles had she bought? The equation to solve this problem is: ( 109.0 * 74.0 ),bottles 8,066 bottles
An industrial machine can make 6 shirts a minute. It worked for 12 minutes yesterday and for 14 shirts today. How many shirts did machine make altogether? The equation to solve this problem is: ( 6.0 * ( 12.0 + 14.0 ) ),= 126 126 shirts
Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package. How many pieces of gum does Robin have? The equation to solve this problem is: ( 28.0 * 4.0 ),+ ( 13.0 * 4.0 ) 144 + 52 = 196
White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers How many white t - shirts will she have? The equation to solve this problem is: ( 53.0 * 57.0 ),+ 34 3092
Bryan took a look at his books and magazines. If he has 27 books and 80 magazines in each of his 23 bookshelves How many books does he have in total? The equation to solve this problem is: ( 27.0 * 23.0 ),+ ( 80.0 * 23.0 ) 621 + 1840 = 2461 2461
Luke gained 146 points in each round of a game. If he played 157 rounds of a trivia game How many points did he score in the game? The equation to solve this problem is: ( 157.0 * 146.0 ),22922
Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day. How many drums of grapes would be filled in 58 days? The equation to solve this problem is: ( 108.0 * 58.0 ),- 108.0 * 57.0 6504
A mailman has to give 4 pieces of junk mail to each house in each of the 16 blocks. If there are 17 houses in each block How many pieces of junk mail should he give in total? The equation to solve this problem is: ( ( 4.0 * 17.0 ) * 16.0 ),1152
Lewis earns $ 28 every week during the 1091 weeks of harvest. He also earns $ 939 per week for working overtime. If he works overtime every week How much money does he earn during harvest season? The equation to solve this problem is: ( ( 28.0 + 939.0 ) * 1091.0 ),115008
Melissa scored 109 points in each game. She also got 82 bonus points in each game. How many points did she score in 79 games? The equation to solve this problem is: ( ( 109.0 + 82.0 ) * 79.0 ),10001
After resting they decided to go for a swim. The depth of the water is 9 times Dean's height. If Ron is 15 feet tall and Dean is 6 feet shorter than Ron How deep was the water? The equation to solve this problem is: ( ( 15.0 - 6.0 ) * 9.0 ),72
Paige was helping her mom plant flowers and together they planted 55 seeds. They put 15 seeds in each flower bed and only 60 seeds grew into flowers in each flower bed. How many flowers did they grow? The equation to solve this problem is: ( 60.0 * ( 55.0 / 15.0 ) ),330
