question,scratch,answer
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have? Equation: <equation> ( 6.0 * 14.0 )</equation> ,<scratch> Multiplying 6 and 14 at digit level. Current carry is 0; 6 times 4 plus carry gives 24; new carry is 0; result is 4.  Multiplying 6 and 1 plus carry gives 6; new carry is 0; result is 6. The overall result is 64</scratch>,64
Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads. How many beads did Emily have? Equation: <equation> ( 11.0 * 28.0 )</equation> ,<scratch> Multiplying 11 and 28 at digit level. Current carry is 0; 11 times 8 plus carry gives 88; new carry is 0; result is 8.  Adding 0 and 1 at digit level. Current carry is 0; 0 plus 1 plus carry gives 1; new carry is NaN; result is 1. The overall result is 881</scratch>,881
A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block How many pieces of junk mail should he give in each block? Equation: <equation> ( 9.0 * 20.0 )</equation> ,<scratch> Multiplying 9 and 20 at digit level. Current carry is 0; 9 times 20 plus carry gives 180; new carry is 0; result is 180. The overall result is 180</scratch>,180
After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet How deep was the water? Equation: <equation> ( ( 14.0 - 8.0 ) * 2.0 )</equation> ,<scratch> Subtracting 8 from 14 at digit level. Current carry is 0; 14 minus 8 plus carry gives 6; new carry is NaN; result is 6.  Multiplying 6 by 2 at digit level. Current carry is 0; 6 times 2 plus carry gives 12; new carry is NaN; result is 12. The overall result is 12</scratch>,12
There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it. How many flowers are there in all? Equation: <equation> ( ( 544.0 * 10 ) * 32.0 )</equation>,<scratch> Multiplying 544 and 10 at digit level. Current carry is 0; 544 multiplied by 10 plus carry gives 5440; new carry is 0; result is 5440.  Multiplying 5440 and 32 at digit level. Current carry is 0; 5440 multiplied by 32 plus carry gives 174080; new carry is 0; result is 174080. The overall result is 174080</scratch>,174080
Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds How many seeds did they plant? Equation: <equation> ( 10.0 * 45.0 )</equation> ,<scratch> Multiplying 10 and 45 at digit level. Current carry is 0; 10 times 4 plus carry gives 40; new carry is 0; result is 4.  Adding 0 and 0 at digit level. Current carry is 0; 0 plus 0 plus carry gives 0; new carry is NaN; result is 0. The overall result is 450</scratch>,450
Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row. How many pencils and crayons does she have altogether? Equation: <equation> ( ( 31.0 + 27.0 ) * 11.0 )</equation> ,<scratch> Adding 31 and 27 at digit level. Current carry is 0; 31 plus 27 plus carry gives 58; new carry is 0; result is 58.  Multiplying 58 by 11 at digit level. Current carry is 0; 58 times 11 plus carry gives 638; new carry is 0; result is 638. The overall result is 638</scratch>,638
Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag How many pieces of candy did he have? Equation: <equation> ( 26.0 * 33.0 )</equation> ,<scratch> Multiplying 26 and 33 at digit level. Current carry is 0; 26 times 33 plus carry gives 858; new carry is 0; result is 8. The overall result is 858</scratch>,858
The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the arkansas game? Equation: <equation> ( 98.0 * 89.0 )</equation> ,<scratch> Multiplying 98 and 89 at digit level. Current carry is 0; 98 times 89 plus carry gives 8712; new carry is 0; result is 2. The overall result is 8712</scratch>,8712
Brenda's mother made cookies for 14. If each of them had 30 cookies How many cookies did she prepare? Equation: <equation> ( 14.0 * 30.0 )</equation> ,<scratch> Multiplying 14 and 30 at digit level. Current carry is 0; 14 multiplied by 30 plus carry gives 420; new carry is 0; result is 420. The overall result is 420</scratch>,420
Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them. How many apples did Rachel pick in all? Equation: <equation> ( 4.0 * 7.0 )</equation> ,<scratch> Multiplying 4 and 7 at digit level. Current carry is 0; 4 times 7 plus carry gives 28; new carry is 0; result is 2. The overall result is 28</scratch>,28
The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people. How many people can ride the Ferris wheel on small seats? Equation: <equation> ( 2.0 * 14.0 )</equation> ,<scratch> Multiplying 2 and 14 at digit level. Current carry is 0; 2 times 14 plus carry gives 28; new carry is 0; result is 28. The overall result is 28</scratch>,28
Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book. How many pages are there in the book? Equation: <equation> ( 22.0 * 569.0 )</equation> ,<scratch> Multiplying 22 and 569 at digit level. Current carry is 0; 22 times 569 plus carry gives 12518; new carry is 0; result is 12518. The overall result is 12518</scratch>,12518
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total? Equation: <equation> ( 46.0 * 10.0 )</equation> ,<scratch> Multiplying 46 and 10 at digit level. Current carry is 0; 46 times 10 plus carry gives 460; new carry is 0; result is 460. The overall result is 460</scratch>,460
Shirley sold 25 cases of boxes of trefoils. How many boxes of trefoils does she need to deliver if each case has 14 boxes? Equation: <equation> ( 25.0 * 14.0 )</equation> ,<scratch> Multiplying 25 and 14 at digit level. Current carry is 0; 25 times 14 plus carry gives 350; new carry is 0; result is 350. The overall result is 350</scratch>,350
We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us How many slices of pizza are there altogether? Equation: <equation> ( 17.0 * 4.0 )</equation> ,<scratch> Multiplying 17 and 4 at digit level. Current carry is 0; 17 multiplied by 4 plus carry gives 68; new carry is 0; result is 68. The overall result is 68</scratch>,68
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold? Equation: <equation> ( ( 8.0 + 10.0 ) * 4.0 )</equation> ,<scratch> Adding 8 and 10 at digit level. Current carry is 0; 8 plus 10 plus carry gives 18; new carry is 0; result is 18.  Multiplying 18 by 4 at digit level. Current carry is 0; 18 times 4 plus carry gives 72; new carry is 0; result is 72. The overall result is 72</scratch>,72
The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the Texas tech game? Equation: <equation> ( 78.0 * ( 186.0 - 172.0 ) )</equation> ,<scratch> Multiplying 78 and 14 at digit level. Current carry is 0; 78 multiplied by 14 plus carry gives 1112; new carry is 0; result is 1112. The overall result is 1112</scratch>,1112
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges. How many oranges do they harvest per day? Equation: <equation> ( 8.0 * 35.0 )</equation> ,<scratch> Multiplying 8 and 35 at digit level. Current carry is 0; 8 times 5 plus carry gives 40; new carry is 0; result is 4.  Multiplying 8 and 3 plus carry gives 24; new carry is 0; result is 2. The overall result is 240</scratch>,240
The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people. How many people can ride the Ferris wheel on large seats? Equation: <equation> ( 7.0 * 12.0 )</equation> ,<scratch> Multiplying 7 and 12 at digit level. Current carry is 0; 7 times 12 plus carry gives 84; new carry is 0; result is 84. The overall result is 84</scratch>,84
There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block How many pieces of junk mail should he give each block? Equation: <equation> ( 32.0 * 20.0 )</equation> ,<scratch> Multiplying 32 and 20 at digit level. Current carry is 0; 32 times 20 plus carry gives 640; new carry is 0; result is 640. The overall result is 640</scratch>,640
There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches. How many green peaches are in the baskets altogether? Equation: <equation> ( 2.0 * 7.0 )</equation> ,<scratch> Multiplying 2 and 7 at digit level. Current carry is 0; 2 times 7 plus carry gives 14; new carry is 0; result is 14. The overall result is 14</scratch>,14
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all How much carpet does she need to cover the floors of all rooms? Equation: <equation> ( ( 19.0 * 18.0 ) * 20.0 )</equation>,<scratch> Multiplying 19 and 18 at digit level. Current carry is 0; 19 times 18 plus carry gives 342; new carry is 0; result is 342.  Multiplying 342 and 20 at digit level. Current carry is 0; 342 times 20 plus carry gives 6840; new carry is 0; result is 6840. The overall result is 6840</scratch>,6840
A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block How many pieces of junk mail should he give in each block? Equation: <equation> ( 4.0 * 12.0 )</equation> ,<scratch> Multiplying 4 and 12 at digit level. Current carry is 0; 4 times 12 plus carry gives 48; new carry is 0; result is 48. The overall result is 48</scratch>,48
There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187 How many bananas does he have in his collection? Equation: <equation> ( 140.0 * 187.0 )</equation> ,<scratch> Multiplying 140 and 187 at digit level. Current carry is 0; 140 times 7 plus carry gives 1020; new carry is 0; result is 20.  Multiplying 140 and 8 plus carry gives 1120; new carry is 0; result is 20.  Multiplying 140 and 1 plus carry gives 1410; new carry is 0; result is 10.  Multiplying 140 and 4 plus carry gives 560; new carry is 0; result is 6.  Multiplying 140 and 0 plus carry gives 0; new carry is 0; result is 0. The overall result is 202060</scratch>,202060
He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have? Equation: <equation> ( 56.0 * 39.0 )</equation> ,<scratch> Multiplying 56 and 39 at digit level. Current carry is 0; 56 times 39 plus carry gives 2184; new carry is 0; result is 2184. The overall result is 2184</scratch>,2184
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges? Equation: <equation> ( 66.0 * 28.0 )</equation> ,<scratch> Multiplying 66 and 28 at digit level. Current carry is 0; 66 multiplied by 8 gives 528; new carry is 0; result is 5.  Multiplying 66 and 2 gives 132; new carry is 0; result is 2. The overall result is 532</scratch>,532
Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have? Equation: <equation> ( 8.0 * 10.0 )</equation> ,<scratch> Multiplying 8 and 10 at digit level. Current carry is 0; 8 times 10 plus carry gives 80; new carry is NaN; result is 80. The overall result is 80</scratch>,80
The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys? Equation: <equation> ( 76.0 * 2.0 )</equation> ,<scratch> Multiplying 76 and 2 at digit level. Current carry is 0; 76 times 2 plus carry gives 152; new carry is 0; result is 152. The overall result is 152</scratch>,152
Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have? Equation: <equation> ( 26.0 * 2.0 )</equation> ,<scratch> Multiplying 26 and 2 at digit level. Current carry is 0; 26 times 2 plus carry gives 52; new carry is 0; result is 52. The overall result is 52</scratch>,52
For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks. How many nails does John need for the house wall? Equation: <equation> ( 16.0 * 2.0 )</equation> ,<scratch> Multiplying 16 and 2 at digit level. Current carry is 0; 16 times 2 plus carry gives 32; new carry is 0; result is 32. The overall result is 32</scratch>,32
The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts? Equation: <equation> ( ( 51.0 - 8.0 ) * 130.0 )</equation> ,<scratch> Subtracting 8 from 51 at digit level. Current carry is 0; 51 minus 8 plus carry gives 43; new carry is NaN; result is 43.  Multiplying 43 by 130 at digit level. Current carry is 0; 43 times 130 plus carry gives 5590; new carry is 0; result is 5590. The overall result is 5590</scratch>,5590
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day. How many drums of grapes would be filled in 146 days? Equation: <equation> ( 244.0 * 146.0 )</equation> ,<scratch> Multiplying 244 and 146 at digit level. Current carry is 0; 244 multiplied by 146 plus carry gives 35624; new carry is 0; result is 35624. The overall result is 35624</scratch>,35624
A book has 31 chapters. Each chapter is 61 pages long. How many pages does the book have altogether? Equation: <equation> ( 31.0 * 61.0 )</equation> ,<scratch> Multiplying 31 and 61 at digit level. Current carry is 0; 31 times 1 gives 31; new carry is 0; result is 31.  Multiplying 0 and 1 at digit level. Current carry is 0; 0 times 1 gives 0; new carry is NaN; result is 0. The overall result is 1891</scratch>,1891
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day. How many drums of grapes would be filled in 77 days? Equation: <equation> ( 221.0 * 77.0 )</equation> ,<scratch> Multiplying 221 and 77 at digit level. Current carry is 0; 221 times 77 plus carry gives 17007; new carry is 0; result is 7007. The overall result is 165019</scratch>,165019
He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day. How many sacks of unripe oranges will they have after 45 days of harvest? Equation: <equation> ( 24.0 * 45.0 )</equation> ,<scratch> Multiplying 24 and 45 at digit level. Current carry is 0; 24 multiplied by 45 plus carry gives 1080; new carry is 0; result is 1080. The overall result is 1080</scratch>,1080
The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys. How much money did they make from selling the jerseys? Equation: <equation> ( 165.0 * 156.0 )</equation> ,<scratch> Multiplying 165 and 156 at digit level. Current carry is 0; 165 times 156 plus carry gives 25740; new carry is 0; result is 25740. The overall result is 25740</scratch>,25740
After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet How deep was the water? Equation: <equation> ( 12.0 * 5.0 )</equation> ,<scratch> Dean is 12 - 11 = 1 foot shorter than Ron. The water is 5 * 12 = 60 feet deep.</scratch>,1 foot, 60 feet
There are 466 pots. Each pot has 53 flowers and 181 sticks in it. How many flowers and sticks are there in all? Equation: <equation> ( ( 53.0 + 181.0 ) * 466.0 )</equation> ,<scratch> Multiplying 53 and 181 at digit level. Current carry is 0; 53 multiplied by 181 plus carry gives 9633; new carry is 0; result is 9633.  Multiplying 9633 and 466 at digit level. Current carry is 0; 9633 multiplied by 466 plus carry gives 4475188; new carry is 0; result is 4475188. The overall result is 4475188</scratch>,4475188
He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day. How many sacks of unripe oranges will they have after 6 days of harvest? Equation: <equation> ( 65.0 * 6.0 )</equation> ,<scratch> Multiplying 65 and 6 at digit level. Current carry is 0; 65 multiplied by 6 plus carry gives 390; new carry is 0; result is 390. The overall result is 390</scratch>,390
Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package. How many pieces of candies does Robin have? Equation: <equation> ( 45.0 * 9.0 )</equation> ,<scratch> Multiplying 45 and 9 at digit level. Current carry is 0; 45 times 9 plus carry gives 405; new carry is 0; result is 405. The overall result is 405</scratch>,405
Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week How much money will have at the end of the harvest season? Equation: <equation> ( ( 491.0 - 216.0 ) * 1181.0 )</equation> ,<scratch> Multiplying 491 and 1181 at digit level. Current carry is 0; 491 times 1181 plus carry gives 582091; new carry is 0; result is 582091. Subtracting 216 from 582091 at digit level. Current carry is 0; 582091 minus 216 plus carry gives 581875; new carry is 0; result is 581875. The overall result is 581875</scratch>,581875
Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make? Equation: <equation> ( 35.0 * ( 4.0 / 2.0 ) )</equation> ,<scratch> Multiplying 35 and 2 at digit level. Current carry is 0; 35 times 2 plus carry gives 70; new carry is 0; result is 70. The overall result is 70</scratch>,70
Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people. How many people can ride 20 Ferris wheels at the same time? Equation: <equation> ( ( 19.0 * 15.0 ) * 20.0 )</equation>,<scratch> Multiplying 19 and 15 at digit level. Current carry is 0; 19 times 15 plus carry gives 285; new carry is 0; result is 285.  Multiplying 285 and 20 at digit level. Current carry is 0; 285 times 20 plus carry gives 5700; new carry is 0; result is 5700. The overall result is 5700</scratch>,5700
Faye was placing her pencils into rows with 16 pencils in each row. She had 28 packs of pencils each one having 24 pencils. How many rows could she make? Equation: <equation> ( 28.0 * ( 24.0 / 16.0 ) )</equation> ,<scratch> Multiplying 28 and 24 at digit level. Current carry is 0; 28 times 24 plus carry gives 672; new carry is 0; result is 672.  Dividing 672 by 16 at digit level. Current carry is 0; 672 divided by 16 plus carry gives 42; new carry is 0; result is 42. The overall result is 42</scratch>,42
He had 15 aquariums for saltwater animals and 62 aquariums for freshwater animals. Each aquarium has 19 animals in it. How many animals does he have in total? Equation: <equation> ( ( 15.0 + 62.0 ) * 19.0 )</equation> ,<scratch> Multiplying 15 and 19 at digit level. Current carry is 0; 15 times 19 plus carry gives 285; new carry is 0; result is 285.  Multiplying 62 and 19 at digit level. Current carry is 0; 62 times 19 plus carry gives 1178; new carry is 0; result is 1178.  Adding 285 and 1178 at digit level. Current carry is 0; 285 plus 1178 plus carry gives 1463; new carry is 0; result is 1463. The overall result is 1463</scratch>,1463
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest? Equation: <equation> ( 5.0 * 73.0 )</equation> ,<scratch> Multiplying 5 and 73 at digit level. Current carry is 0; 5 times 7 plus carry gives 35; new carry is 0; result is 3.  Multiplying 0 and 3 at digit level. Current carry is 0; 0 times 3 plus carry gives 0; new carry is NaN; result is 0. The overall result is 175</scratch>,175
The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school? Equation: <equation> ( 95.0 * 118.0 )</equation> ,<scratch> Multiplying 95 and 118 at digit level. Current carry is 0; 95 times 118 plus carry gives 11270; new carry is 0; result is 0. The overall result is 11270</scratch>,11270
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have? Equation: <equation> ( 30.0 * 24.0 )</equation> ,<scratch> Multiplying 30 and 24 at digit level. Current carry is 0; 30 times 4 plus carry gives 120; new carry is 0; result is 12.  Multiplying 30 and 2 plus carry gives 60; new carry is 0; result is 6. The overall result is 180</scratch>,180
Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week How much money does he earn during harvest season? Equation: <equation> ( 403.0 * 233.0 )</equation> ,<scratch> Multiplying 403 and 233 at digit level. Current carry is 0; 403 multiplied by 233 plus carry gives 93899; new carry is 0; result is 93899. The overall result is 93899</scratch>,93899
He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges? Equation: <equation> ( ( 76.0 - 64.0 ) * 50.0 )</equation> ,<scratch> Multiplying 76 and 50 at digit level. Current carry is 0; 76 times 50 plus carry gives 3800; new carry is 0; result is 3800.</scratch>,3800
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all? Equation: <equation> ( 6.0 * 2.0 )</equation> ,<scratch> Multiplying 6 and 2 at digit level. Current carry is 0; 6 times 2 plus carry gives 12; new carry is 0; result is 12. The overall result is 12</scratch>,12
If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds? Equation: <equation> ( 81.0 * 33.0 )</equation> ,<scratch> Multiplying 81 and 33 at digit level. Current carry is 0; 81 times 33 plus carry gives 2673; new carry is 0; result is 2673. The overall result is 2673</scratch>,2673
There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. How many peaches are in the baskets altogether? Equation: <equation> ( ( 10.0 + 18.0 ) * 11.0 )</equation> ,<scratch> Multiplying 10 and 18 at digit level. Current carry is 0; 10 times 18 plus carry gives 180; new carry is 0; result is 180.  Multiplying 180 and 11 at digit level. Current carry is 0; 180 times 11 plus carry gives 2080; new carry is 0; result is 2080. The overall result is 2080</scratch>,2080
He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them. How many sacks of oranges will they have after 51 days of harvest? Equation: <equation> ( ( 74.0 - 71.0 ) * 51.0 )</equation> ,<scratch> Multiplying 74 and 51 at digit level. Current carry is 0; 74 times 51 plus carry gives 3794; new carry is 0; result is 3794.</scratch>,3794
Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have? Equation: <equation> ( 31.0 * 6.0 )</equation> ,<scratch> Multiplying 31 and 6 at digit level. Current carry is 0; 31 times 6 plus carry gives 186; new carry is 0; result is 186. The overall result is 186</scratch>,186
The school has 304 grades and each grade has 75 students How many students were there in total? Equation: <equation> ( 304.0 * 75.0 )</equation> ,<scratch> Multiplying 304 and 75 at digit level. Current carry is 0; 304 multiplied by 75 plus carry gives 22700; new carry is 0; result is 22700. The overall result is 22700</scratch>,22700
Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row. How many pencils does she have? Equation: <equation> ( 19.0 * 4.0 )</equation> ,<scratch> Multiplying 19 and 4 at digit level. Current carry is 0; 19 times 4 plus carry gives 76; new carry is 0; result is 76. The overall result is 76</scratch>,76
The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts. How much money did they make from selling the t-shirts? Equation: <equation> ( ( 201.0 + 217.0 ) * 14.0 )</equation> ,<scratch> Multiplying 201 and 14 at digit level. Current carry is 0; 201 times 14 plus carry gives 2814; new carry is 0; result is 2814.  Multiplying 217 and 14 at digit level. Current carry is 0; 217 times 14 plus carry gives 3038; new carry is 0; result is 3038.  Adding 2814 and 3038 at digit level. Current carry is 0; 2814 plus 3038 plus carry gives 5852; new carry is NaN; result is 5852. The overall result is 5852</scratch>,5852
The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken How many people can ride the Ferris wheel at the same time? Equation: <equation> ( ( 18.0 - 10.0 ) * 15.0 )</equation> ,<scratch> Subtracting 10 from 18 at digit level. Current carry is 0; 18 minus 10 plus carry gives 8; new carry is NaN; result is 8.  Multiplying 8 and 15 at digit level. Current carry is 0; 8 times 15 plus carry gives 120; new carry is NaN; result is 120. The overall result is 120</scratch>,120
The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus How many buses are needed to take the trip? Equation: <equation> ( 67.0 * ( 66.0 / 6.0 ) )</equation> ,<scratch> Multiplying 67 and 6 at digit level. Current carry is 0; 67 multiplied by 6 plus carry gives 402; new carry is 0; result is 402. The overall result is 402</scratch>,402
The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game How much money did they make from selling the t-shirts? Equation: <equation> ( 87.0 * 95.0 )</equation> ,<scratch> Subtracting 47 from 95 at digit level. Current carry is 0; 95 minus 47 plus carry gives 48; new carry is 0; result is 4. The overall result is 48</scratch>,48
