question,scratch,answer
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind? Equation: <equation> 60.0 - 29.0</equation>,<scratch>Subtracting 29 from 60 at digit level;  60 >= 29;  Borrow: 0; 60 - 29 = 31. move one place left; 0 remains 0; final result: 31.</scratch>,31
There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now? Equation: <equation> 13 - 3</equation> ,<scratch>Subtracting 3 from 13 at digit level;  13 >= 3;  Borrow: 0; 13 - 3 = 10. move one place left; 3 remains 3; Subtracting 0 from 3 at digit level;  3 >= 0;  Borrow: 0; 3 - 0 = 3. move one place left; 10 remains 10; final result: 10.</scratch>,10
After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? Equation: <equation> 661 - 600</equation> ,<scratch>Subtracting 600 from 661 at digit level;  661 >= 600;  Borrow: 0; 661 - 600 = 61. move one place left; 6 remains 6; final result: 61.</scratch>,61
Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in? Equation: <equation> 11.0 - 5.0</equation>,<scratch>Subtracting 5 from 11 at digit level;  11 >= 5;  Borrow: 0; 11 - 5 = 6. move one place left; 1 remains 1; final result: 6.</scratch>,6
Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries How many cakes would baker still have? Equation: <equation> 149 - 10</equation> ,<scratch>Subtracting 10 from 149 at digit level;  14 >= 10;  Borrow: 0; 14 - 10 = 4. move one place left; 9 remains 9; final result: 139.</scratch>,139
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete? Equation: <equation> 24 - 21</equation> ,<scratch>Subtracting 21 from 24 at digit level;  24 >= 21;  Borrow: 0; 24 - 21 = 3. move one place left; 4 remains 4; final result: 3.</scratch>,3
Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon? Equation: <equation> 310 - 185</equation> ,<scratch>Subtracting 185 from 310 at digit level;  31 >= 18;  Borrow: 1; 31 - 18 = 13. move one place left; 0 remains 0; Subtracting 0 from 13 at digit level;  13 >= 0;  Borrow: 0; 13 - 0 = 13. move one place left; 0 remains 0; final result: 125.</scratch>,125
Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have? Equation: <equation> 4 - 2</equation> ,<scratch>Subtracting 2 from 4 at digit level;  4 >= 2;  Borrow: 0; 4 - 2 = 2. move one place left; 0 remains 0; final result: 2.</scratch>,2
Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday? Equation: <equation> 11 - 9</equation> ,<scratch>Subtracting 9 from 11 at digit level;  11 >= 9;  Borrow: 0; 11 - 9 = 2. move one place left; 1 remains 1; final result: 2.</scratch>,2
36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on? Equation: <equation> 36 - 12</equation> ,<scratch>Subtracting 12 from 36 at digit level;  36 >= 12;  Borrow: 0; 36 - 12 = 24. move one place left; 6 remains 6; Subtracting 0 from 6 at digit level;  6 >= 0;  Borrow: 0; 6 - 0 = 6. move one place left; 2 remains 2; final result: 24.</scratch>,24
Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether How many bags did she find on the next day? Equation: <equation> 6 - 4</equation> ,<scratch>Subtracting 4 from 6 at digit level;  6 >= 4;  Borrow: 0; 6 - 4 = 2. move one place left; 0 remains 0; final result: 2.</scratch>,2
In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have? Equation: <equation> 1097 - 410</equation> ,<scratch>Adding 632 and 465 at digit level;  632 >= 465;  Borrow: 0; 632 + 465 = 1097. move one place left; 0 remains 0; final result: 1097.</scratch>,1097
Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house? Equation: <equation> 50 - 20</equation> ,<scratch>Subtracting 20 from 50 at digit level;  50 >= 20;  Borrow: 0; 50 - 20 = 30. move one place left; 0 remains 0; final result: 30.</scratch>,30
2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence? Equation: <equation> 6 - 5</equation> ,<scratch>Adding 3 to 2 at digit level;  2 >= 3;  Borrow: 0; 2 + 3 = 5. move one place left; 0 remains 0; Subtracting 5 from 6 at digit level;  6 >= 5;  Borrow: 0; 6 - 5 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate? Equation: <equation> 21 - 16</equation> ,<scratch>Subtracting 16 from 21 at digit level;  21 >= 16;  Borrow: 0; 21 - 16 = 5. move one place left; 1 remains 1; final result: 5.</scratch>,5
After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? Equation: <equation> 317 - 295</equation> ,<scratch>Subtracting 295 from 317 at digit level;  317 >= 295;  Borrow: 0; 317 - 295 = 22. move one place left; 1 remains 1; Subtracting 0 from 1 at digit level;  1 >= 0;  Borrow: 0; 1 - 0 = 1. move one place left; 3 remains 3; final result: 22.</scratch>,221
Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost? Equation: <equation> 6 - 5</equation> ,<scratch>Subtracting 5 from 6 at digit level;  6 >= 5;  Borrow: 0; 6 - 5 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon? Equation: <equation> 408 - 42</equation> ,<scratch>Subtracting 42 from 408 at digit level;  40 >= 4;  Borrow: 0; 40 - 4 = 36. move one place left; 8 remains 8; Subtracting 2 from 8 at digit level;  8 >= 2;  Borrow: 0; 8 - 2 = 6. move one place left; 3 remains 3; final result: 366.</scratch>,366
Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend. How many cookies did paco have left? Equation: <equation> 40.0 - -8.0</equation>,<scratch>Subtracting 13 from 40 at digit level;  40 >= 13;  Borrow: 0; 40 - 13 = 27. move one place left; 0 remains 0; Subtracting 5 from 27 at digit level;  27 >= 5;  Borrow: 0; 27 - 5 = 22. move one place left; 0 remains 0; final result: 22.</scratch>,22
Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend? Equation: <equation> 14 - 13</equation> ,<scratch>Subtracting 13 from 14 at digit level;  14 >= 13;  Borrow: 0; 14 - 13 = 1. move one place left; 4 remains 4; final result: 1.</scratch>,1
Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday? Equation: <equation> 19 - 18</equation> ,<scratch>Subtracting 18 from 19 at digit level;  19 >= 18;  Borrow: 0; 19 - 18 = 1. move one place left; 1 remains 1; final result: 1.</scratch>,1
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar? Equation: <equation> 3 - 2</equation> ,<scratch>Subtracting 2 from 3 at digit level;  3 >= 2;  Borrow: 0; 3 - 2 = 1. move one place left; 2 remains 2; final result: 1.</scratch>,1
Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground. How many more marbles did Ed have than Doug then? Equation: <equation> 29 - 17</equation> ,<scratch>Subtracting 17 from 29 at digit level;  29 >= 17;  Borrow: 0; 29 - 17 = 12. move one place left; 9 remains 9; final result: 12.</scratch>,12
There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read? Equation: <equation> 20 - 5</equation> ,<scratch>Subtracting 5 from 20 at digit level;  20 >= 5;  Borrow: 0; 20 - 5 = 15. move one place left; 0 remains 0; final result: 15.</scratch>,15
Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now? Equation: <equation> 19 - 11</equation> ,<scratch>Subtracting 11 from 19 at digit level;  19 >= 11;  Borrow: 0; 19 - 11 = 8. move one place left; 9 remains 9; final result: 8.</scratch>,8
Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park. How many more balloons did Jake have than Allan in the park? Equation: <equation> 7 - 6</equation> ,<scratch>Adding 3 and 4 at digit level;  3 + 4 = 7. move one place left; 0 remains 0; Subtracting 6 from 7 at digit level;  7 >= 6;  Borrow: 0; 7 - 6 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have? Equation: <equation> 61 - 22</equation> ,<scratch>Subtracting 22 from 61 at digit level;  61 >= 22;  Borrow: 0; 61 - 22 = 39. move one place left; 1 remains 1; final result: 39.</scratch>,39
During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all. About how many kids stayed home? Equation: <equation> 828521 - 800059</equation> ,<scratch>Subtracting 800059 from 828521 at digit level;  82 >= 80;  Borrow: 0; 82 - 80 = 2. move one place left; 8 remains 8; Subtracting 0 from 8 at digit level;  8 >= 0;  Borrow: 0; 8 - 0 = 8. move one place left; 2 remains 2; final result: 28462.</scratch>,28462
Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park? Equation: <equation> 5 - 4</equation> ,<scratch>Adding 2 and 3 at digit level;  2 + 3 = 5. move one place left; 0 remains 0; Subtracting 4 from 5 at digit level;  5 >= 4;  Borrow: 0; 5 - 4 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
A chef had 58 apples. After making some pies, he had used 35. How many apples remained? Equation: <equation> 58 - 35</equation> ,<scratch>Subtracting 35 from 58 at digit level;  5 >= 3;  Borrow: 0; 5 - 3 = 2. move one place left; 8 remains 8; Subtracting 0 from 8 at digit level;  8 >= 0;  Borrow: 0; 8 - 0 = 8. move one place left; 5 remains 5; final result: 23.</scratch>,23
There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut? Equation: <equation> 7 - 3</equation> ,<scratch>Subtracting 3 from 7 at digit level;  7 >= 3;  Borrow: 0; 7 - 3 = 4. move one place left; 3 remains 3; final result: 4.</scratch>,4
Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening? Equation: <equation> 5 - 4</equation> ,<scratch>Subtracting 4 from 5 at digit level;  5 >= 4;  Borrow: 0; 5 - 4 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking? Equation: <equation> 160 - 56</equation> ,<scratch>Subtracting 56 from 160 at digit level;  16 >= 5;  Borrow: 1; 16 - 5 = 11. move one place left; 0 remains 0; Subtracting 0 from 11 at digit level;  11 >= 0;  Borrow: 0; 11 - 0 = 11. move one place left; 0 remains 0; final result: 104.</scratch>,104
15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day How many campers went rowing in the afternoon? Equation: <equation> 32 - 15</equation> ,<scratch>Subtracting 15 from 32 at digit level;  32 >= 15;  Borrow: 0; 32 - 15 = 17. move one place left; 2 remains 2; final result: 17.</scratch>,17
Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes? Equation: <equation> 489 - 479</equation> ,<scratch>Subtracting 479 from 489 at digit level;  489 >= 479;  Borrow: 0; 489 - 479 = 10. move one place left; 4 remains 4; final result: 10.</scratch>,10
Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles How many marbles did Doug have initially? Equation: <equation> 27 - 5</equation> ,<scratch>Subtracting 5 from 27 at digit level;  27 >= 5;  Borrow: 0; 27 - 5 = 22. move one place left; 7 remains 7; final result: 22.</scratch>,22
Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete? Equation: <equation> 7 - 4</equation> ,<scratch>Subtracting 4 from 7 at digit level;  7 >= 4;  Borrow: 0; 7 - 4 = 3. move one place left; 0 remains 0; final result: 3.</scratch>,3
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake? Equation: <equation> 256 - 231</equation> ,<scratch>Adding 237 and 19 at digit level;  237 >= 19;  Borrow: 0; 237 + 19 = 256. move one place left; 19 remains 19; Adding 256 and 231 at digit level;  256 >= 231;  Borrow: 0; 256 + 231 = 487. move one place left; 231 remains 231; final result: 487.</scratch>,487
Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether How many bags did she have on monday? Equation: <equation> 8 - 4</equation> ,<scratch>Subtracting 4 from 8 at digit level;  8 >= 4;  Borrow: 0; 8 - 4 = 4. move one place left; 0 remains 0; final result: 4.</scratch>,4
Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park? Equation: <equation> 63 - 30</equation> ,<scratch>Subtracting 30 from 63 at digit level;  6 >= 3;  Borrow: 0; 6 - 3 = 3. move one place left; 3 remains 3; Subtracting 0 from 3 at digit level;  3 >= 0;  Borrow: 0; 3 - 0 = 3. move one place left; 6 remains 6; final result: 33.</scratch>,33
Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar. How many more cups of flour than cups of sugar does she need to add now? Equation: <equation> 14.0 - 2.0</equation>,<scratch>Subtracting 2 from 14 at digit level;  14 >= 2;  Borrow: 0; 14 - 2 = 12. move one place left; 4 remains 4; Subtracting 0 from 4 at digit level;  4 >= 0;  Borrow: 0; 4 - 0 = 4. move one place left; 1 remains 1; final result: 12.</scratch>,12
Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left? Equation: <equation> 140 - 22</equation> ,<scratch>Subtracting 22 from 140 at digit level;  14 >= 2;  Borrow: 0; 14 - 2 = 12. move one place left; 0 remains 0; Subtracting 0 from 12 at digit level;  12 >= 0;  Borrow: 0; 12 - 0 = 12. move one place left; 0 remains 0; final result: 118.</scratch>,118
A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today. How many will he have left after today? Equation: <equation> 171.0 - 104.0</equation>,<scratch>Subtracting 30 from 134 at digit level;  134 >= 30;  Borrow: 0; 134 - 30 = 104. move one place left; 1 remains 1; Subtracting 1 from 1 at digit level;  1 >= 1;  Borrow: 0; 1 - 1 = 0. move one place left; 1 remains 1; final result: 104.</scratch>,104
Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar. How many more cups of flour does she need to add? Equation: <equation> 14 - 7</equation> ,<scratch>Subtracting 7 from 14 at digit level;  14 >= 7;  Borrow: 0; 14 - 7 = 7. move one place left; 4 remains 4; final result: 7.</scratch>,7
There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase. How many more orchids than roses are there in the vase now? Equation: <equation> 20 - 11</equation> ,<scratch>Subtracting 11 from 20 at digit level;  20 >= 11;  Borrow: 0; 20 - 11 = 9. move one place left; 0 remains 0; final result: 9.</scratch>,9
After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging. How much does she weigh now? Equation: <equation> 69 - 35</equation> ,<scratch>Subtracting 35 from 69 at digit level;  6 >= 3;  Borrow: 0; 6 - 3 = 3. move one place left; 9 remains 9; Subtracting 0 from 9 at digit level;  9 >= 0;  Borrow: 0; 9 - 0 = 9. move one place left; 6 remains 6; final result: 34.</scratch>,34
22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop? Equation: <equation> 62 - 2</equation> ,<scratch>Adding 22 and 40 at digit level;  22 >= 40;  Borrow: 0; 22 + 40 = 62. move one place left; 0 remains 0; Subtracting 2 from 62 at digit level;  62 >= 2;  Borrow: 0; 62 - 2 = 60. move one place left; 0 remains 0; final result: 60.</scratch>,60
There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies How many more books than movies have you read? Equation: <equation> 13 - 12</equation> ,<scratch>Subtracting 12 from 13 at digit level;  13 >= 12;  Borrow: 0; 13 - 12 = 1. move one place left; 3 remains 3; final result: 1.</scratch>,1
A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes How many tomatoes and potatoes does he have left? Equation: <equation> 252 - 172</equation> ,<scratch>Adding 175 and 77 at digit level;  175 >= 77;  Borrow: 0; 175 + 77 = 252. move one place left; 77 remains 77; Subtracting 172 from 252 at digit level;  252 >= 172;  Borrow: 0; 252 - 172 = 80. move one place left; 25 remains 25; final result: 80.</scratch>,80
Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars. How much money did they earn by washing cars? Equation: <equation> 115 - 111</equation> ,<scratch>Subtracting 111 from 115 at digit level;  115 >= 111;  Borrow: 0; 115 - 111 = 4. move one place left; 5 remains 5; final result: 4.</scratch>,4
Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially How many roses did she cut? Equation: <equation> 19 - 3</equation> ,<scratch>Subtracting 3 from 19 at digit level;  19 >= 3;  Borrow: 0; 19 - 3 = 16. move one place left; 3 remains 3; Subtracting 0 from 3 at digit level;  3 >= 0;  Borrow: 0; 3 - 0 = 3. move one place left; 16 remains 16; final result: 16.</scratch>,16
23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus. How many more children got off the bus than those that got on? Equation: <equation> 23 - 8</equation> ,<scratch>Subtracting 8 from 23 at digit level;  23 >= 8;  Borrow: 0; 23 - 8 = 15. move one place left; 3 remains 3; final result: 15.</scratch>,15
Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon? Equation: <equation> 257 - 120</equation> ,<scratch>Subtracting 120 from 257 at digit level;  257 >= 120;  Borrow: 0; 257 - 120 = 137. move one place left; 7 remains 7; final result: 137.</scratch>,137
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height? Equation: <equation> 90 - 9</equation> ,<scratch>Multiplying 9 by 10 at digit level;  9 >= 10;  Borrow: 0; 9 * 10 = 90. move one place left; 0 remains 0; Subtracting 9 from 90 at digit level;  90 >= 9;  Borrow: 0; 90 - 9 = 81. move one place left; 0 remains 0; final result: 81.</scratch>,81
Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax How many grams of wax does he already have? Equation: <equation> 628 - 159</equation> ,<scratch>Subtracting 159 from 628 at digit level;  6 >= 1;  Borrow: 1; 6 - 1 = 5. move one place left; 28 remains 28; Subtracting 9 from 5 at digit level;  5 >= 9;  Borrow: 1; 5 - 9 = -4. move one place left; 28 remains 28; Subtracting 4 from 28 at digit level;  2 >= 4;  Borrow: 1; 2 - 4 = -2. move one place left; 8 remains 8; final result: 469.</scratch>,469
There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket. How many green peaches are in the basket? Equation: <equation> 16 - 13</equation> ,<scratch>Subtracting 13 from 16 at digit level;  16 >= 13;  Borrow: 0; 16 - 13 = 3. move one place left; 1 remains 1; final result: 3.</scratch>,3
Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds. How much more did his strawberries weigh than his dad's? Equation: <equation> 19.0 - -15.0</equation>,<scratch>Subtracting -15 from 19 at digit level;  19 >= -15;  Borrow: 0; 19 - (-15) = 34. move one place left; 9 remains 9; final result: 34.</scratch>,34
Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday. How many more kids did she play with on monday than on wednesday? Equation: <equation> 6 - 4</equation> ,<scratch>Subtracting 4 from 6 at digit level;  6 >= 4;  Borrow: 0; 6 - 4 = 2. move one place left; 0 remains 0; final result: 2.</scratch>,2
A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda. How many more bottles than apple did they have? Equation: <equation> 134 - 36</equation> ,<scratch>Adding 80 and 54 at digit level;  80 >= 54;  Borrow: 0; 80 + 54 = 134. move one place left; 0 remains 0; Subtracting 36 from 134 at digit level;  134 >= 36;  Borrow: 0; 134 - 36 = 98. move one place left; 1 remains 1; final result: 98.</scratch>,98
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper? Equation: <equation> 37 - 16</equation> ,<scratch>Subtracting 16 from 37 at digit level;  37 >= 16;  Borrow: 0; 37 - 16 = 21. move one place left; 7 remains 7; final result: 21.</scratch>,21
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared? Equation: <equation> 19 - 15</equation> ,<scratch>Subtracting 15 from 19 at digit level;  19 >= 15;  Borrow: 0; 19 - 15 = 4. move one place left; 1 remains 1; Subtracting 0 from 1 at digit level;  1 >= 0;  Borrow: 0; 1 - 0 = 1. move one place left; 9 remains 9; final result: 4.</scratch>,4
Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies. How many more salty cookies than sweet cookies did he eat? Equation: <equation> 28 - 15</equation> ,<scratch>Subtracting 15 from 28 at digit level;  28 >= 15;  Borrow: 0; 28 - 15 = 13. move one place left; 8 remains 8; final result: 13.</scratch>,13
Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have? Equation: <equation> 14.0 - 3.0</equation>,<scratch>Subtracting 3 from 14 at digit level;  14 >= 3;  Borrow: 0; 14 - 3 = 11. move one place left; 4 remains 4; final result: 11.</scratch>,11
Paul had 115 books. He sold 78 books in a garage sale. How many books does he have left with him? Equation: <equation> 115 - 78</equation> ,<scratch>Subtracting 78 from 115 at digit level;  11 >= 7;  Borrow: 1; 11 - 7 = 4. move one place left; 5 remains 5; Subtracting 8 from 4 at digit level;  4 >= 8;  Borrow: 1; 4 - 8 = -4. move one place left; 5 remains 5; final result: 37.</scratch>,37
Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first? Equation: <equation> 84 - 63</equation> ,<scratch>Adding 33 and 63 at digit level;  33 >= 63;  Borrow: 0; 33 + 63 = 96. move one place left; 3 remains 3; Subtracting 63 from 96 at digit level;  96 >= 63;  Borrow: 0; 96 - 63 = 33. move one place left; 9 remains 9; final result: 33.</scratch>,33
