question,answer
After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? The equation to solve this problem is: <equation> ( 661.0 - 600.0 )</equation>,61
Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in? The equation to solve this problem is: <equation> ( ( 11.0 - 7.0 ) - 2.0 )</equation>,6
Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries How many cakes would baker still have? The equation to solve this problem is: <equation> ( 149.0 - 10.0 )</equation>,139
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete? The equation to solve this problem is: <equation> ( 24.0 - 21.0 )</equation>,3
Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon? The equation to solve this problem is: <equation> ( 310.0 - 185.0 )</equation>,125
Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have? The equation to solve this problem is: <equation> ( 4.0 - 2.0 )</equation>,2
Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday? The equation to solve this problem is: <equation> ( 11.0 - 9.0 )</equation>,2
36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on? The equation to solve this problem is: <equation> ( 36.0 - 12.0 )</equation>,54
Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether How many bags did she find on the next day? The equation to solve this problem is: <equation> ( 6.0 - 4.0 )</equation>,2
In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have? The equation to solve this problem is: <equation> ( ( 632.0 + 465.0 ) - 410.0 )</equation>,1007
Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house? The equation to solve this problem is: <equation> ( 50.0 - 20.0 )</equation>,30
2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence? The equation to solve this problem is: <equation> ( 6.0 - ( 2.0 + 3.0 ) )</equation>,3
Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate? The equation to solve this problem is: <equation> ( 21.0 - 16.0 )</equation>,5
After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? The equation to solve this problem is: <equation> ( 317.0 - 295.0 )</equation>,22
Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost? The equation to solve this problem is: <equation> ( 6.0 - 5.0 )</equation>,1
Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon? The equation to solve this problem is: <equation> ( 408.0 - 42.0 )</equation>,366
Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend. How many cookies did paco have left? The equation to solve this problem is: <equation> ( ( 40.0 - 5.0 ) - 13.0 )</equation>,12
Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend? The equation to solve this problem is: <equation> ( 14.0 - 13.0 )</equation>,1
Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday? The equation to solve this problem is: <equation> ( 19.0 - 18.0 )</equation>,1
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar? The equation to solve this problem is: <equation> ( 3.0 - 2.0 )</equation>,1
Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground. How many more marbles did Ed have than Doug then? The equation to solve this problem is: <equation> ( 29.0 - 17.0 )</equation>,12
There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read? The equation to solve this problem is: <equation> ( 20.0 - 5.0 )</equation>,15
Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now? The equation to solve this problem is: <equation> ( 19.0 - 11.0 )</equation>,8
Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park. How many more balloons did Jake have than Allan in the park? The equation to solve this problem is: <equation> ( ( 3.0 + 4.0 ) - 6.0 )</equation>,5
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have? The equation to solve this problem is: <equation> ( 61.0 - 22.0 )</equation>,39
During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all. About how many kids stayed home? The equation to solve this problem is: <equation> ( 828521.0 - 800059.0 )</equation>,28462
Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park? The equation to solve this problem is: <equation> ( ( 2.0 + 3.0 ) - 4.0 )</equation>,1
A chef had 58 apples. After making some pies, he had used 35. How many apples remained? The equation to solve this problem is: <equation> ( 58.0 - 35.0 )</equation>,23
There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut? The equation to solve this problem is: <equation> ( 7.0 - 3.0 )</equation>,4
Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening? The equation to solve this problem is: <equation> ( 5.0 - 4.0 )</equation>,1
A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking? The equation to solve this problem is: <equation> ( 160.0 - 56.0 )</equation>,104
15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day How many campers went rowing in the afternoon? The equation to solve this problem is: <equation> ( 32.0 - 15.0 )</equation>,17
Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes? The equation to solve this problem is: <equation> ( 489.0 - 479.0 )</equation>,10
Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles How many marbles did Doug have initially? The equation to solve this problem is: <equation> ( 27.0 - 5.0 )</equation>,22
Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete? The equation to solve this problem is: <equation> ( 7.0 - 4.0 )</equation>,3
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake? The equation to solve this problem is: <equation> ( ( 19.0 + 237.0 ) - 231.0 )</equation>,16
Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether How many bags did she have on monday? The equation to solve this problem is: <equation> ( 8.0 - 4.0 )</equation>,4
Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park? The equation to solve this problem is: <equation> ( 63.0 - 30.0 )</equation>,33
Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar. How many more cups of flour than cups of sugar does she need to add now? The equation to solve this problem is: <equation> ( 14.0 - ( 12.0 - 10.0 ) )</equation>,4
Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left? The equation to solve this problem is: <equation> ( 140.0 - 22.0 )</equation>,118
A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today. How many will he have left after today? The equation to solve this problem is: <equation> ( ( 171.0 - 134.0 ) - 30.0 )</equation>,7
Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar. How many more cups of flour does she need to add? The equation to solve this problem is: <equation> ( 14.0 - 7.0 )</equation>,7
There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase. How many more orchids than roses are there in the vase now? The equation to solve this problem is: <equation> ( 20.0 - 11.0 )</equation>,9
After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging. How much does she weigh now? The equation to solve this problem is: <equation> ( 69.0 - 35.0 )</equation>,34
22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop? The equation to solve this problem is: <equation> ( ( 22.0 + 40.0 ) - 2.0 )</equation>,36
There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies How many more books than movies have you read? The equation to solve this problem is: <equation> ( 13.0 - 12.0 )</equation>,1
A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes How many tomatoes and potatoes does he have left? The equation to solve this problem is: <equation> ( ( 175.0 + 77.0 ) - 172.0 )</equation>,150
Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars. How much money did they earn by washing cars? The equation to solve this problem is: <equation> ( 115.0 - 111.0 )</equation>,4
Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially How many roses did she cut? The equation to solve this problem is: <equation> ( 19.0 - 3.0 )</equation>,16
23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus. How many more children got off the bus than those that got on? The equation to solve this problem is: <equation> ( 23.0 - 8.0 )</equation>,15
Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon? The equation to solve this problem is: <equation> ( 257.0 - 120.0 )</equation>,137
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height? The equation to solve this problem is: <equation> ( ( 10.0 * 9.0 ) - 9.0 )</equation>,81
Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax How many grams of wax does he already have? The equation to solve this problem is: <equation> ( 628.0 - 159.0 )</equation>,469
There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket. How many green peaches are in the basket? The equation to solve this problem is: <equation> ( 16.0 - 13.0 )</equation>,3
Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds. How much more did his strawberries weigh than his dad's? The equation to solve this problem is: <equation> ( 19.0 - ( 4.0 - 19.0 ) )</equation>,15
Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday. How many more kids did she play with on monday than on wednesday? The equation to solve this problem is: <equation> ( 6.0 - 4.0 )</equation>,2
A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda. How many more bottles than apple did they have? The equation to solve this problem is: <equation> ( ( 80.0 + 54.0 ) - 36.0 )</equation>,168
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper? The equation to solve this problem is: <equation> ( 37.0 - 16.0 )</equation>,21
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared? The equation to solve this problem is: <equation> ( ( 7.0 + 12.0 ) - 15.0 )</equation>,14
Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies. How many more salty cookies than sweet cookies did he eat? The equation to solve this problem is: <equation> ( 28.0 - 15.0 )</equation>,13
Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have? The equation to solve this problem is: <equation> ( ( 14.0 - 6.0 ) - 3.0 )</equation>,3
Paul had 115 books. He sold 78 books in a garage sale. How many books does he have left with him? The equation to solve this problem is: <equation> ( 115.0 - 78.0 )</equation>,37
Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first? The equation to solve this problem is: <equation> ( ( 33.0 + 51.0 ) - 63.0 )</equation>,10
A grocery store had 67 bottles of regular soda and 9 bottles of diet soda. How many more bottles of regular soda than diet soda did they have? The equation to solve this problem is: <equation> ( 67.0 - 9.0 )</equation>,58
A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple. How many bottles of diet soda did they have? The equation to solve this problem is: <equation> ( 17.0 - 9.0 )</equation>,8
Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches. How many more peaches does Jake have than Jill? The equation to solve this problem is: <equation> ( 8.0 - 3.0 )</equation>,5
Josh had 20 marbles in his collection. He gave 2 marbles to Jack. How many marbles does Josh have now? The equation to solve this problem is: <equation> ( 20.0 - 2.0 )</equation>,18
Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill. How many peaches does Jake have? The equation to solve this problem is: <equation> ( 12.0 - 4.0 )</equation>,8
Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peaches How many more peaches does Jake have than Jill? The equation to solve this problem is: <equation> ( 18.0 - 5.0 )</equation>,13
A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples. How many more bottles of regular soda than diet soda did they have? The equation to solve this problem is: <equation> ( 83.0 - 54.0 )</equation>,29
Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon? The equation to solve this problem is: <equation> ( 330.0 - 269.0 )</equation>,61
Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left. How many more apps did he delete than he added? The equation to solve this problem is: <equation> ( 15.0 - 14.0 )</equation>,5
Kelly has 106 nintendo games. How many will she have left if she gives away 64 games? The equation to solve this problem is: <equation> ( 106.0 - 64.0 )</equation>,42
Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars. How much money did Jason make over the weekend? The equation to solve this problem is: <equation> ( 78.0 - 22.0 )</equation>,56
Jack received 6 emails in the morning and 2 emails in the afternoon. How many more emails did Jack receive in the morning than in the afternoon? The equation to solve this problem is: <equation> ( 6.0 - 2.0 )</equation>,4
Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes How many more pastries than cakes did baker sell? The equation to solve this problem is: <equation> ( 154.0 - 78.0 )</equation>,76
They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party How many more chairs will they have to buy? The equation to solve this problem is: <equation> ( 14.0 - ( 4.0 * 3.0 ) )</equation>,3
Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars. How much money did Fred earn over the weekend? The equation to solve this problem is: <equation> ( 40.0 - 19.0 )</equation>,21
Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookies How many more cookies did he eat than those he bought? The equation to solve this problem is: <equation> ( 5.0 - 3.0 )</equation>,2
Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches. How many more peaches than apples does Steven have? The equation to solve this problem is: <equation> ( 18.0 - 11.0 )</equation>,7
A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda. How many bottles of diet soda did they have? The equation to solve this problem is: <equation> ( 30.0 - 28.0 )</equation>,2
Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initially How many more bird families flew away for the winter than those that stayed behind? The equation to solve this problem is: <equation> ( 86.0 - ( 45.0 - 86.0 ) )</equation>,41
Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the park How many more balloons did Jake have than Allan in the park? The equation to solve this problem is: <equation> ( 6.0 - ( 2.0 + 3.0 ) )</equation>,3
Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning chinese than he does on learning spanish? The equation to solve this problem is: <equation> ( 5.0 - 4.0 )</equation>,1
2 birds were sitting on the fence. 5 more birds and 4 more storks came to join them. How many more birds than storks are sitting on the fence? The equation to solve this problem is: <equation> ( ( 2.0 + 5.0 ) - 4.0 )</equation>,3
Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies. How many more cookies did he give to his friend than those he ate? The equation to solve this problem is: <equation> ( 30.0 - 23.0 )</equation>,7
Baker made 170 cakes. He sold 78 of them and bought 31 new cakes. How many more cakes did baker sell than those he bought? The equation to solve this problem is: <equation> ( 78.0 - 31.0 )</equation>,47
There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase. How many orchids did she cut? The equation to solve this problem is: <equation> ( 21.0 - 2.0 )</equation>,19
Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar. How many more cups of sugar does she need to add? The equation to solve this problem is: <equation> ( 14.0 - 2.0 )</equation>,12
Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold? The equation to solve this problem is: <equation> ( ( 144.0 + 111.0 ) - 71.0 )</equation>,184
Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour. How many more cups of flour does she need to add? The equation to solve this problem is: <equation> ( 12.0 - 11.0 )</equation>,1
There are 62 different movies and 19 different books in the ' crazy silly school ' series. If you read 4 of the books and watched 34 of the movies How many more books do you still have to read? The equation to solve this problem is: <equation> ( 19.0 - 4.0 )</equation>,Failed to get answer
41 children were riding on the bus. At the bus stop some children got off the bus. Then there were 18 children left on the bus. How many more children were on the bus before the bus stop than there are now? The equation to solve this problem is: <equation> ( 41.0 - 18.0 )</equation>,23
Danny collects bottle caps and wrappers. He found 30 bottle caps and 14 wrappers at the park. Now he has 7 bottle caps and 86 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? The equation to solve this problem is: <equation> ( 30.0 - 14.0 )</equation>,16
Edward spent $ 16 to buy books and $ 8 to buy pens. Now he has $ 19. How much more did Edward spend on books than pens? The equation to solve this problem is: <equation> ( 16.0 - 8.0 )</equation>,8
Dan has $ 4. He had $ 3 left with him after he bought a candy bar. How much did the candy bar cost? The equation to solve this problem is: <equation> ( 4.0 - 3.0 )</equation>,1
Paul got a box of 253 crayons for his birthday. By the end of the school year he had either lost or given away 70 of them. How many crayons did he have left by the end of the school year? The equation to solve this problem is: <equation> ( 253.0 - 70.0 )</equation>,183
Zachary did 51 push-ups in gym class today. David did 22 more push-ups than Zachary. John did 4 push-ups less than David. How many push-ups did John do? The equation to solve this problem is: <equation> ( ( 51.0 + 22.0 ) - 4.0 )</equation>,77
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 519 chocolate chip cookies and 300 raisin cookies yesterday. And she baked 280 raisin cookies and 359 chocolate chip cookies this morning. How many more raisin cookies did Helen bake yesterday compared to today? The equation to solve this problem is: <equation> ( 300.0 - 280.0 )</equation>,20
A grocery store had 81 bottles of regular soda, 60 bottles of diet soda and 60 bottles of lite soda. How many more bottles of regular soda did they have than diet soda? The equation to solve this problem is: <equation> ( 81.0 - 60.0 )</equation>,21
Edward had $ 13. He spent some money. Now he has $ 3. How much money did Edward spend? The equation to solve this problem is: <equation> ( 13.0 - 3.0 )</equation>,10
Ed had 19 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has 8 more marbles than doug. How many marbles did Ed lose? The equation to solve this problem is: <equation> ( 19.0 - 8.0 )</equation>,11
A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples. How many more bottles than apple did they have? The equation to solve this problem is: <equation> ( ( 72.0 + 32.0 ) - 78.0 )</equation>,10
Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested tomatoes? The equation to solve this problem is: <equation> ( 144.0 - 79.0 )</equation>,65
A waiter had 14 customers. 5 customers left. How many customers does he still have? The equation to solve this problem is: <equation> ( 14.0 - 5.0 )</equation>,9
Mary is baking a cake. The recipe calls for 11 cups of sugar and 9 cups of flour. She already put in 12 cups of flour and 10 cups of sugar. How many more cups of sugar does she need to add? The equation to solve this problem is: <equation> ( 11.0 - 10.0 )</equation>,1
The Razorback t-shirt shop makes $ 106 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 t-shirts. If they sold 115 t-shirts during the Arkansas game How many t-shirts did they sell during the Texas tech game? The equation to solve this problem is: <equation> ( 242.0 - 115.0 )</equation>,127
Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower. How many more blocks did he use to build the house than he did to build the tower? The equation to solve this problem is: <equation> ( 89.0 - 63.0 )</equation>,26
Allan brought 2 balloons and Jake brought 3 balloons to the park. How many more balloons did Jake have than Allan in the park? The equation to solve this problem is: <equation> ( 3.0 - 2.0 )</equation>,1
Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning english than he does on learning spanish? The equation to solve this problem is: <equation> ( 7.0 - 4.0 )</equation>,3
Paul had 108 books. After selling some books in a garage sale and giving 35 books to his friend he had 62 books left. How many books did he sell in the garage sale? The equation to solve this problem is: <equation> ( ( 108.0 - 35.0 ) - 62.0 )</equation>,11
Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left. How many more Ace cards than baseball cards does Nell have? The equation to solve this problem is: <equation> ( 495.0 - 404.0 )</equation>,91
Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones. How many action figures were on his shelf in all? The equation to solve this problem is: <equation> ( ( 8.0 + 4.0 ) - 5.0 )</equation>,11
Mary is baking a cake. The recipe calls for 9 cups of sugar 7 cups of flour and 4 cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now? The equation to solve this problem is: <equation> ( ( 7.0 - 2.0 ) - 4.0 )</equation>,3
Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf How many more action figures than books were on his shelf? The equation to solve this problem is: <equation> ( ( 9.0 + 7.0 ) - 10.0 )</equation>,16
Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost? The equation to solve this problem is: <equation> ( 571.0 - 161.0 )</equation>,410
Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening. How many more emails did Jack receive in the morning than in the evening? The equation to solve this problem is: <equation> ( 9.0 - 7.0 )</equation>,2
Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning? The equation to solve this problem is: <equation> ( 8.0 - 6.0 )</equation>,2
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today? The equation to solve this problem is: <equation> ( 197.0 - 66.0 )</equation>,131
Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches. How many peaches does Jill have? The equation to solve this problem is: <equation> ( 19.0 - 13.0 )</equation>,6
Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery How many packs of cake did she buy in all? The equation to solve this problem is: <equation> ( 27.0 - 23.0 )</equation>,4
Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese? The equation to solve this problem is: <equation> ( 6.0 - 3.0 )</equation>,3
A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter? The equation to solve this problem is: <equation> ( 48.0 - 11.0 )</equation>,37
6 green peaches, 60 yellow peaches and 2 red peaches are in the basket. How many more green peaches than red peaches are in the basket? The equation to solve this problem is: <equation> ( 6.0 - 2.0 )</equation>,4
There were 22 parents in the program and 676 people in total. How many pupils were present in the program? The equation to solve this problem is: <equation> ( 676.0 - 22.0 )</equation>,654
Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g How many grams of wax does he already have? The equation to solve this problem is: <equation> ( 288.0 - 260.0 )</equation>,28
Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour. How many more cups of flour than cups of sugar does she need to add now? The equation to solve this problem is: <equation> ( ( 14.0 - 5.0 ) - 6.0 )</equation>,3
