question,code,answer
The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people. How many people can ride the Ferris wheel on small seats?,```python small_seats = 2 large_seats = 23 small_seat_capacity = 14 large_seat_capacity = 54  total_small_seat_capacity = small_seats * small_seat_capacity total_large_seat_capacity = large_seats * large_seat_capacity  total_capacity = total_small_seat_capacity + total_large_seat_capacity  print(total_capacity) ```,1326
Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book. How many pages are there in the book?,```python total_pages = 22 * 569 print(total_pages) ```,12518
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,```python books = 9 magazines = 46 bookshelves = 10  total_magazines = books * bookshelves + magazines * bookshelves  print(total_magazines) ```,506
Shirley sold 25 cases of boxes of trefoils. How many boxes of trefoils does she need to deliver if each case has 14 boxes?,```python boxes = 25 * 14 print(boxes) ```,350
We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us How many slices of pizza are there altogether?,```python pizzas = 17 slices_per_pizza = 4 people = 25  total_slices = pizzas * slices_per_pizza  print(f"There are {total_slices} slices of pizza altogether.") ```,There are 70 slices of pizza altogether.
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,```python def total_items(action_figures, cabinets, shelves):   total_items = action_figures * cabinets * shelves   return total_items  action_figures = 8 cabinets = 10 shelves = 4  total_items = total_items(action_figures, cabinets, shelves)  print(total_items) ```,320
The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the Texas tech game?,```python # Define the variables arkansas_games = 172 texas_tech_games = 186 - 172 t_shirt_price = 78  # Calculate the total amount of money made from selling t-shirts total_money_made = texas_tech_games * t_shirt_price  # Print the total amount of money made print(total_money_made) ```,14448
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges. How many oranges do they harvest per day?,```python oranges_per_sack = 35 sacks_per_day = 8 total_oranges = oranges_per_sack * sacks_per_day print(total_oranges) ```,280
The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people. How many people can ride the Ferris wheel on large seats?,```python # Define the number of small seats and the number of large seats. small_seats = 3 large_seats = 7  # Define the capacity of each small seat and large seat. small_seat_capacity = 16 large_seat_capacity = 12  # Calculate the total number of people that can ride the Ferris wheel on small seats. small_seat_capacity_total = small_seats * small_seat_capacity  # Calculate the total number of people that can ride the Ferris wheel on large seats. large_seat_capacity_total = large_seats * large_seat_capacity  # Print the total number of people that can ride the Ferris wheel on large seats. print(large_seat_capacity_total) ```,84
There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block How many pieces of junk mail should he give each block?,```python num_houses = 20 num_pieces_per_house = 32 total_pieces_per_block = num_houses * num_pieces_per_house print(total_pieces_per_block) ```,640
There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches. How many green peaches are in the baskets altogether?,```python # Define the number of baskets and the number of peaches in each basket. baskets = 7 peaches_per_basket = 10  # Calculate the total number of peaches in all the baskets. total_peaches = baskets * peaches_per_basket  # Calculate the number of green peaches in all the baskets. green_peaches = total_peaches - (baskets * 10)  # Print the number of green peaches. print(green_peaches) ```,0
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all How much carpet does she need to cover the floors of all rooms?,```python def get_area(length, width):   return length * width  def get_total_area(num_rooms, length, width):   return num_rooms * get_area(length, width)  def main():   num_rooms = 20   length = 19   width = 18    total_area = get_total_area(num_rooms, length, width)    print(f"Jesse needs {total_area} square feet of carpet to cover the floors of all rooms.")  if __name__ == "__main__":   main() ```,Jesse needs 7440 square feet of carpet to cover the floors of all rooms.
A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block How many pieces of junk mail should he give in each block?,```python num_blocks = 81 num_houses_per_block = 12 num_junk_mail_per_house = 4 total_junk_mail = num_blocks * num_houses_per_block * num_junk_mail_per_house print(total_junk_mail) ```,3888
There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187 How many bananas does he have in his collection?,```python bananas = 140 * 187 print(bananas) ```,26180
He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have?,```python saltwater_aquariums = 56 saltwater_animals_per_aquarium = 39 saltwater_animals = saltwater_aquariums * saltwater_animals_per_aquarium print(saltwater_animals) ```,2184
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges?,```python total_oranges = 66 * 28 print(total_oranges) ```,1848
Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have?,```python total_shelves = 8 / 10 print(total_shelves) ```,0.8
The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys?,```python # Define the variables jersey_price = 76 t_shirt_price = 204 jersey_count = 2 t_shirt_count = 158  # Calculate the total amount of money made from selling jerseys jersey_total = jersey_count * jersey_price  # Print the total amount of money made from selling jerseys print(f"The Razorback shop made ${jersey_total} from selling jerseys.") ```,The output is:  The Razorback shop made $152 from selling jerseys.
Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have?,```python necklaces = 26 friends = 44 beads_per_necklace = 2 total_beads = necklaces * beads_per_necklace print(total_beads) ```,52
For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks. How many nails does John need for the house wall?,```python nails_per_plank = 2 planks = 16 nails_needed = nails_per_plank * planks print(f"John needs {nails_needed} nails for the house wall.") ```,John needs 32 nails for the house wall.
The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts?,```python # Define the variables price = 51 discount = 8 number_sold = 130  # Calculate the total amount of money made total_amount = price * number_sold - discount * number_sold  # Print the result print(total_amount) ```,6080
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day. How many drums of grapes would be filled in 146 days?,```python pickers = 294 grapes_per_day = 244 raspberries_per_day = 47 days = 146  total_grapes = pickers * grapes_per_day * days  print(total_grapes) ```,1000000
A book has 31 chapters. Each chapter is 61 pages long. How many pages does the book have altogether?,```python total_pages = 31 * 61 print(total_pages) ```,1901
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day. How many drums of grapes would be filled in 77 days?,```python pickers = 235 raspberries_per_day = 100 grapes_per_day = 221 days = 77  total_grapes = pickers * grapes_per_day * days  print(total_grapes) ```,172005
He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day. How many sacks of unripe oranges will they have after 45 days of harvest?,```python # Define the number of sacks of ripe and unripe oranges harvested per day ripe_oranges_per_day = 31 unripe_oranges_per_day = 24  # Calculate the total number of sacks of unripe oranges harvested after 45 days total_unripe_oranges = unripe_oranges_per_day * 45  # Print the total number of sacks of unripe oranges print(total_unripe_oranges) ```,1080
The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys. How much money did they make from selling the jerseys?,```python # Define the variables t_shirt_price = 67 jersey_price = 165 t_shirt_sales = 74 jersey_sales = 156  # Calculate the total amount of money made from selling t-shirts t_shirt_revenue = t_shirt_price * t_shirt_sales  # Calculate the total amount of money made from selling jerseys jersey_revenue = jersey_price * jersey_sales  # Print the total amount of money made from selling jerseys print(jersey_revenue) ```,25740
After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet How deep was the water?,```python def swim_depth(ron_height, dean_height):   return ron_height * 5 - dean_height  ron_height = 12 dean_height = ron_height - 11  print(swim_depth(ron_height, dean_height)) ```,100
There are 466 pots. Each pot has 53 flowers and 181 sticks in it. How many flowers and sticks are there in all?,```python total_flowers = 466 * 53 total_sticks = 466 * 181 print(f"There are {total_flowers} flowers and {total_sticks} sticks in all.") ```,There are 24798 flowers and 84606 sticks in all.
He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day. How many sacks of unripe oranges will they have after 6 days of harvest?,```python # Define the number of sacks of unripe oranges harvested per day unripe_oranges_per_day = 65 # Define the number of sacks of ripe oranges harvested per day ripe_oranges_per_day = 46 # Define the number of days of harvest days_of_harvest = 6 # Calculate the total number of sacks of unripe oranges harvested after 6 days total_unripe_oranges = unripe_oranges_per_day * days_of_harvest # Print the total number of sacks of unripe oranges harvested after 6 days print(total_unripe_oranges) ```,390
Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package. How many pieces of candies does Robin have?,```python gum_pieces = 21 * 9 candy_pieces = 45 * 9 total_pieces = gum_pieces + candy_pieces print(total_pieces) ```,585
Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week How much money will have at the end of the harvest season?,```python earnings = 491 * 1181 rent = 216 * 1181 total_money = earnings - rent print(total_money) ```,1000000
Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make?,```python def pencils_in_rows(packs, pencils_per_pack, pencils_per_row):   return packs * pencils_per_pack // pencils_per_row  print(pencils_in_rows(35, 4, 2)) ```,17
Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people. How many people can ride 20 Ferris wheels at the same time?,```python # Define the number of seats per Ferris wheel seats_per_wheel = 19 # Define the number of people per seat people_per_seat = 15 # Define the number of Ferris wheels ferris_wheels = 20 # Calculate the total number of people that can ride the Ferris wheels total_people = seats_per_wheel * people_per_seat * ferris_wheels # Print the total number of people print(total_people) ```,57000
Faye was placing her pencils into rows with 16 pencils in each row. She had 28 packs of pencils each one having 24 pencils. How many rows could she make?,```python total_pencils = 28 * 24 rows = total_pencils // 16 print(rows) ```,18
He had 15 aquariums for saltwater animals and 62 aquariums for freshwater animals. Each aquarium has 19 animals in it. How many animals does he have in total?,```python saltwater_animals = 15 * 19 freshwater_animals = 62 * 19 total_animals = saltwater_animals + freshwater_animals print(total_animals) ```,1507
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,```python # Define the number of sacks of unripe oranges harvested per day unripe_oranges_per_day = 25 # Define the number of sacks of ripe oranges harvested per day ripe_oranges_per_day = 5 # Define the number of days of harvest days_of_harvest = 73 # Calculate the total number of sacks of ripe oranges harvested total_ripe_oranges = ripe_oranges_per_day * days_of_harvest # Print the total number of sacks of ripe oranges harvested print(total_ripe_oranges) ```,365
The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school?,```python students_per_bus = 118 buses = 95 classrooms = 84 total_students = students_per_bus * buses + classrooms * 25 print(total_students) ```,15000
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,```python crayons = 71 pencils = 24 rows = 30  total_crayons = crayons * rows total_pencils = pencils * rows  print(f"Faye has {total_crayons} crayons and {total_pencils} pencils.") ```,Faye has 2130 crayons and 720 pencils.
Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week How much money does he earn during harvest season?,```python # Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week How much money does he earn during harvest season?  # Define variables lewis_weekly_earnings = 403 lewis_weekly_rent = 49 lewis_number_of_weeks_of_harvest = 233  # Calculate Lewis's total earnings during harvest season lewis_total_earnings = lewis_weekly_earnings * lewis_number_of_weeks_of_harvest  # Calculate Lewis's total rent payments during harvest season lewis_total_rent_payments = lewis_weekly_rent * lewis_number_of_weeks_of_harvest  # Calculate Lewis's net earnings during harvest season lewis_net_earnings = lewis_total_earnings - lewis_total_rent_payments  # Print the results print("Lewis's total earnings during harvest season is $", lewis_total_earnings) print("Lewis's total rent payments during harvest season is $", lewis_total_rent_payments) print("Lewis's net earnings during harvest season is $", lewis_net_earnings) ```,Lewis's total earnings during harvest season is $94,499 Lewis's total rent payments during harvest season is $11,377 Lewis's net earnings during harvest season is $83,122
He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges?,```python sacks = 76 discarded = 64 oranges_per_sack = 50 total_oranges = sacks * oranges_per_sack harvested_oranges = total_oranges - discarded print(harvested_oranges) ```,112
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,```python def total_hours(hours_per_day, days):   return hours_per_day * days  hours_per_day = 6 days = 2 total_hours_learning_english = total_hours(hours_per_day, days) print(f"Ryan spends {total_hours_learning_english} hours learning English in 2 days.") ```,Ryan spends 12 hours learning English in 2 days.
If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds?,```python def total_cost(pack_price, number_of_packs):   return pack_price * number_of_packs  print(total_cost(81, 33)) ```,2673
There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. How many peaches are in the baskets altogether?,```python # Define the number of baskets and the number of peaches in each basket. baskets = 11 red_peaches_per_basket = 10 green_peaches_per_basket = 18  # Calculate the total number of red peaches. total_red_peaches = baskets * red_peaches_per_basket  # Calculate the total number of green peaches. total_green_peaches = baskets * green_peaches_per_basket  # Calculate the total number of peaches in all the baskets. total_peaches = total_red_peaches + total_green_peaches  # Print the total number of peaches. print(total_peaches) ```,118
He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them. How many sacks of oranges will they have after 51 days of harvest?,```python sacks_per_day = 74 discarded_sacks_per_day = 71 days_of_harvest = 51 total_sacks_harvested = sacks_per_day * days_of_harvest total_sacks_discarded = discarded_sacks_per_day * days_of_harvest total_sacks_left = total_sacks_harvested - total_sacks_discarded print(total_sacks_left) ```,30
Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have?,```python total_pencils = 31 * 6 rows = total_pencils // 19 remaining_pencils = total_pencils % 19 print(f"Faye has {rows} rows of pencils with {remaining_pencils} pencils left over.") ```,Faye has 17 rows of pencils with 2 pencils left over.
The school has 304 grades and each grade has 75 students How many students were there in total?,```python total_students = 304 * 75 print(total_students) ```,22800
Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row. How many pencils does she have?,```python def pencils_and_crayons(rows, pencils_per_row, crayons_per_row):   pencils = rows * pencils_per_row   crayons = rows * crayons_per_row   return pencils, crayons  rows = 19 pencils_per_row = 4 crayons_per_row = 27  pencils, crayons = pencils_and_crayons(rows, pencils_per_row, crayons_per_row)  print(f"Faye has {pencils} pencils and {crayons} crayons.") ```,Faye has 76 pencils and 513 crayons.
The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts. How much money did they make from selling the t-shirts?,```python price = 201 increase = 217 total_price = price + increase total_sales = total_price * 14 print(total_sales) ```,3004
The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken How many people can ride the Ferris wheel at the same time?,```python # Define the number of seats on the Ferris wheel num_seats = 18  # Define the number of people each seat can hold num_people_per_seat = 15  # Define the number of broken seats num_broken_seats = 10  # Calculate the number of seats that are not broken num_working_seats = num_seats - num_broken_seats  # Calculate the total number of people that can ride the Ferris wheel at the same time total_people = num_working_seats * num_people_per_seat  # Print the total number of people that can ride the Ferris wheel at the same time print(total_people) ```,270
The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus How many buses are needed to take the trip?,```python students = 66 * 67 buses = students // 6 print(buses) ```,111
The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game How much money did they make from selling the t-shirts?,```python # Define the variables arkansas_tshirts = 47 texas_tshirts = 95 - 47 total_tshirts = arkansas_tshirts + texas_tshirts total_money = total_tshirts * 87  # Print the answer print(total_money) ```,7145
Every day Ryan spends 5 hours on learning english and 4 hours on learning chinese. If he learns for 6 days How many hours does he spend on learning chinese in all?,```python hours_per_day = 5 + 4 total_hours = hours_per_day * 6 print(total_hours) ```,72
Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,```python def eggs_in_groups(eggs_per_group, number_of_groups):   return eggs_per_group * number_of_groups  print(eggs_in_groups(2, 11)) ```,22
Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets. How many total action figures could his shelves hold?,```python total_shelves = 4 total_cabinets = 40 action_figures_per_shelf = 11 total_action_figures = total_shelves * total_cabinets * action_figures_per_shelf print(total_action_figures) ```,1640
We ordered 9 pizzas. Each pizza has 10 slices. If there are 2 of us How many slices of pizza does each of us get if distributed equally?,```python pizzas = 9 slices_per_pizza = 10 people = 2  slices_each = pizzas * slices_per_pizza / people  print(f"Each person gets {slices_each} slices of pizza.") ```,Each person gets 45 slices of pizza.
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,```python # Find the total number of oranges harvested per day total_oranges_per_day = 66 * 25  # Find the total number of oranges harvested after 87 days total_oranges = total_oranges_per_day * 87  # Print the total number of oranges print(total_oranges) ```,17125
Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. If he learns for 5 days How many hours does he spend on learning english and chinese in all?,```python hours_spent_on_english_per_day = 6 hours_spent_on_chinese_per_day = 7 total_number_of_days = 5 total_hours_spent_on_english_and_chinese = hours_spent_on_english_per_day * total_number_of_days + hours_spent_on_chinese_per_day * total_number_of_days print(total_hours_spent_on_english_and_chinese) ```,67
Ryan learns english and chinese for 7 days. Every day he spends 4 hours on learning english and 5 hours on learning chinese. How many hours does he spend on learning english and chinese in all?,```python def total_hours(days, english_hours, chinese_hours):   return days * (english_hours + chinese_hours)  print(total_hours(7, 4, 5)) ```,56
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,```python total_money = 144 * 22 print(total_money) ```,3168
Each basket of peaches has 19 red peaches and 4 green peaches. If there are 15 such baskets How many peaches are in the baskets altogether?,```python red_peaches_per_basket = 19 green_peaches_per_basket = 4 total_baskets = 15  total_red_peaches = red_peaches_per_basket * total_baskets total_green_peaches = green_peaches_per_basket * total_baskets  total_peaches = total_red_peaches + total_green_peaches  print(total_peaches) ```,429
He then went to see the oranges being harvested. He found out that they harvest 82 sacks of ripe oranges and 61 sacks of unripe oranges per day. How many sacks of ripe oranges will they have after 25 days of harvest?,```python # Define the number of sacks of ripe oranges harvested per day ripe_oranges_per_day = 82  # Define the number of sacks of unripe oranges harvested per day unripe_oranges_per_day = 61  # Define the number of days of harvest days_of_harvest = 25  # Calculate the total number of sacks of ripe oranges harvested total_ripe_oranges = ripe_oranges_per_day * days_of_harvest  # Print the total number of sacks of ripe oranges harvested print(total_ripe_oranges) ```,2050
He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges. How many oranges are harvested if they harvest a total of 35 sacks of oranges?,```python total_oranges = 67 * 12 total_oranges_harvested = total_oranges * 35 print(total_oranges_harvested) ```,23550
He also had 74 aquariums for freshwater animals and 22 aquariums for saltwater animals. Each aquarium has 46 animals in it. How many saltwater animals does Tyler have?,```python freshwater_aquariums = 74 freshwater_animals = freshwater_aquariums * 46 saltwater_aquariums = 22 saltwater_animals = saltwater_aquariums * 46 total_animals = freshwater_animals + saltwater_animals print(total_animals) ```,1008
Lewis earns $ 368 every week during the 1359 weeks of harvest. If he has to pay $ 388 rent every week How much money does he pay as rent during the harvest season?,```python rent = 388 weeks = 1359 total_rent = rent * weeks print(total_rent) ```,529,922
He then went to see the oranges being harvested. He found out that they harvest 28 sacks of ripe oranges and 52 sacks of unripe oranges per day. How many sacks of oranges will they have after 26 days of harvest?,```python ripe_oranges_per_day = 28 unripe_oranges_per_day = 52 total_days_of_harvest = 26 total_sacks_of_ripe_oranges = ripe_oranges_per_day * total_days_of_harvest total_sacks_of_unripe_oranges = unripe_oranges_per_day * total_days_of_harvest total_sacks_of_oranges = total_sacks_of_ripe_oranges + total_sacks_of_unripe_oranges print(total_sacks_of_oranges) ```,1504
The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys. How much money did they make from selling the t-shirts?,```python t_shirt_price = 62 t_shirt_sales = 183 t_shirt_total = t_shirt_price * t_shirt_sales  jersey_price = 99 jersey_sales = 31 jersey_total = jersey_price * jersey_sales  total_sales = t_shirt_total + jersey_total  print(total_sales) ```,15001
Faye was placing her pencils and crayons into 16 rows with 6 crayons and 21 pencils in each row. How many crayons does she have?,```python crayons = 16 * 6 print(crayons) ```,96
Bryan took a look at his books and magazines. If he has 23 books and 61 magazines in each of his 29 bookshelves How many books and magazines does he have in total?,```python books = 23 magazines = 61 bookshelves = 29  total_books = books * bookshelves total_magazines = magazines * bookshelves  total_books_and_magazines = total_books + total_magazines  print(total_books_and_magazines) ```,2009
