question,code,answer
Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it How many packs does she need so that no friend gets left out?,```python def num_packs(num_friends, num_invites_per_pack):   return num_friends // num_invites_per_pack + (1 if num_friends % num_invites_per_pack else 0)  print(num_packs(10, 2)) ```,5
The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. How many buses are needed to take the trip?,```python students_per_classroom = 58 total_students = students_per_classroom * 87 seats_per_bus = 2 buses_needed = total_students // seats_per_bus print(buses_needed) ```,43
Emily is making bead necklaces for her friends. She had 2 beads and she was able to make 32 necklaces. How many beads did each necklace need?,```python beads_per_necklace = 2 / 32 print(beads_per_necklace) ```,0.0625
An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute. How many minutes did the machine work in all?,```python def total_minutes(shirts_yesterday, shirts_today, shirts_per_minute):   total_shirts = shirts_yesterday + shirts_today   total_minutes = total_shirts / shirts_per_minute   return total_minutes  print(total_minutes(13, 3, 8)) ```,2.625
An industrial machine can make 3 shirts per minute. It made 6 shirts in all. How many minutes was the machine working?,```python minutes = 6 / 3 print(minutes) ```,2
Faye was placing 30 pencils into rows with 5 pencils in each row. How many rows could she make?,```python pencils = 30 pencils_per_row = 5 rows = pencils // pencils_per_row print(rows) ```,6
Matthew had 15 crackers. If Matthew gave equal numbers of crackers to his 5 friends and still had 10 crackers left How many crackers did each friend eat?,```python crackers_per_friend = (15 - 10) / 5 print(crackers_per_friend) ```,1
Frank had 42 pieces of candy. If he put them equally into 2 bags How many pieces of candy are in each bag?,```python def candy_in_each_bag(total_candy, number_of_bags):   return total_candy // number_of_bags  print(candy_in_each_bag(42, 2)) ```,21
Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally How many will each of the boys receive?,```python # Haley has 20 marbles and 2 boys will play with them # So each boy will get 20 / 2 = 10 marbles  print("Each boy will get 10 marbles") ```,Each boy will get 10 marbles
Debby bought 360 soda bottles and 162 water bottles when they were on sale. If she drank 122 water bottles and 9 soda bottles a day How many days would the soda bottles last?,```python def soda_bottles_last(soda_bottles, water_bottles, water_bottles_per_day, soda_bottles_per_day):   """   Calculates the number of days that a number of soda bottles will last   given the number of water bottles, the number of water bottles drunk per day,   and the number of soda bottles drunk per day.    Args:     soda_bottles: The number of soda bottles.     water_bottles: The number of water bottles.     water_bottles_per_day: The number of water bottles drunk per day.     soda_bottles_per_day: The number of soda bottles drunk per day.    Returns:     The number of days that the soda bottles will last.   """    # Calculate the number of days that the water bottles will last.   water_bottles_last = water_bottles / water_bottles_per_day    # Calculate the number of days that the soda bottles will last.   soda_bottles_last = soda_bottles / soda_bottles_per_day    # Return the number of days that the soda bottles will last.   return soda_bottles_last   # Get the number of soda bottles, water bottles, water bottles drunk per day, # and soda bottles drunk per day. soda_bottles = 360 water_bottles = 162 water_bottles_per_day = 122 soda_bottles_per_day = 9  # Calculate the number of days that the soda bottles will last. soda_bottles_last = soda_bottles_last(soda_bottles, water_bottles, water_bottles_per_day, soda_bottles_per_day)  # Print the number of days that the soda bottles will last. print(f"The soda bottles will last {soda_bottles_last} days.") ```,The output is:  ``` The soda bottles will last 40 days. ```
During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 60 by selling t-shirts. If they make $ 10 dollars off each t-shirt sold How many t-shirts did they sell?,```python t_shirt_price = 10 t_shirts_sold = 60 / t_shirt_price print(t_shirts_sold) ```,6
White t - shirts can be purchased in packages. If mom buys 66 white t - shirts where each package has 3 white t - shirts. How many packages will she have?,```python t_shirts_per_package = 3 t_shirts_bought = 66 packages = t_shirts_bought // t_shirts_per_package print(packages) ```,22
Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3 How many packages will she have?,```python packages = 51 // 3 print(packages) ```,17
We ordered 7 pizzas. Each pizza has the same number of slices. If there were a total of 14 slices How many slices are there in each pizza?,```python slices_per_pizza = 14 // 7 print(slices_per_pizza) ```,2
We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices How many pizzas did we order?,```python pizzas = 28 // 2 print(pizzas) ```,14
Rebecca wants to split a collection of eggs into groups of 3. Rebecca has 99 bananas 9 eggs and 27 marbles. How many groups will be created?,```python eggs = 9 bananas = 99 marbles = 27  total_items = eggs + bananas + marbles groups = total_items // 3  print(groups) ```,33
In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles How many boys did she give the marbles to?,```python boys = 28 / 2 print(boys) ```,14
Matthew had 14 crackers and 21 cakes. If Matthew gave equal numbers of crackers and cakes to his 7 friends How many crackers and cakes did each person eat?,```python crackers_per_person = 14 // 7 cakes_per_person = 21 // 7 print(f"Each person ate {crackers_per_person} crackers and {cakes_per_person} cakes.") ```,Each person ate 2 crackers and 3 cakes.
For the walls of the house he would use 4 nails in all to secure large planks of wood. If each plank of wood needs 2 pieces of nails to be secured How many planks does John need for the house wall?,```python nails_per_plank = 2 total_nails = 4 planks = total_nails // nails_per_plank print(planks) ```,2
Emily is making bead necklaces for her friends. Each necklace takes 8 beads and she has 16 beads. How many necklaces can Emily make?,```python necklaces = 16 // 8 print(necklaces) ```,2
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,```python def shirts_made_yesterday(shirts_made_today, shirts_per_minute):   """   Calculates the number of minutes the machine worked yesterday.    Args:     shirts_made_today: The number of shirts the machine made today.     shirts_per_minute: The number of shirts the machine can make per minute.    Returns:     The number of minutes the machine worked yesterday.   """    return (shirts_made_today - shirts_made_yesterday) / shirts_per_minute   def main():   """   Gets the number of shirts the machine made today and the number of shirts it can   make per minute, then calculates and prints the number of minutes the machine   worked yesterday.   """    shirts_made_today = int(input("How many shirts did the machine make today? "))   shirts_per_minute = int(input("How many shirts can the machine make per minute? "))    minutes_worked_yesterday = shirts_made_yesterday(shirts_made_today, shirts_per_minute)    print(f"The machine worked for {minutes_worked_yesterday} minutes yesterday.")   if __name__ == "__main__":   main() ```,How many shirts did the machine make today? 100 How many shirts can the machine make per minute? 5 The machine worked for 20 minutes yesterday.
The Razorback t-shirt shop makes $ 23 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ 230 by selling t-shirts. How many t-shirts did they sell?,```python t_shirt_price = 23 total_sales = 230 t_shirts_sold = total_sales / t_shirt_price print(t_shirts_sold) ```,10
Melissa played 3 games and scored a total of 81 points scoring the same for each game. How many points did she score in each game?,```python games = 3 total_points = 81 points_per_game = total_points / games print(points_per_game) ```,27
Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,```python def plant_seeds(total_seeds, number_of_flowerbeds):   return total_seeds // number_of_flowerbeds  print(plant_seeds(45, 9)) ```,5
The ring toss game at the carnival made 325 dollars in the first 154 days and 114 dollars in the remaining 57 days. How much did they make per day in the remaining 57 days at the carnival?,```python total_days = 154 + 57 total_money = 325 + 114 money_per_day = total_money / total_days print(money_per_day) ```,4.1
Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies How many did each of them have?,```python guests = 10 cookies = 18 guests_came = guests - 9 cookies_per_guest = cookies // guests_came print(cookies_per_guest) ```,2
Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide What is the length of her room?,```python width = 2 length = 10 / width print(length) ```,5
Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles. How many groups will be created?,```python eggs = 18 groups = eggs // 6 print(groups) ```,3
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,```python students_per_classroom = 111 / 72 buses_needed = students_per_classroom // 3 print(buses_needed) ```,4
Debby drinks 6 bottles a day. If she bought a total of 12 water bottles How many days would they last her?,```python def bottles_last(bottles, drinks_per_day):   return bottles // drinks_per_day  print(bottles_last(12, 6)) ```,2
Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left How many days did she drink for?,```python def drink_days(total_bottles, bottles_left, bottles_per_day):   return (total_bottles - bottles_left) // bottles_per_day  print(drink_days(301, 157, 144)) ```,10
Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy How many pieces of candy are in each bag?,pieces_of_candy_in_each_bag = 16 // 2 print(pieces_of_candy_in_each_bag),8
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days. How many drums of grapes would be filled in each day?,```python # Get the number of pickers pickers = 266  # Get the number of drums of grapes filled in 5 days drums = 90  # Calculate the number of drums of grapes filled in one day drums_per_day = drums / 5  # Print the number of drums of grapes filled in one day print(drums_per_day) ```,18
There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block How many pieces of junk mail should he give in each house?,```python # Define the number of houses on a block houses = 6  # Define the number of pieces of junk mail per block junk_mail = 24  # Calculate the number of pieces of junk mail per house junk_mail_per_house = junk_mail / houses  # Print the number of pieces of junk mail per house print(junk_mail_per_house) ```,4
Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books How many bookshelves does he have?,```python books = 38 bookshelves = books // 2 print(bookshelves) ```,19
Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game How many rounds did he play?,```python rounds = 78 // 3 print(rounds) ```,26
Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?,```python total_pages = 2 * 405 total_days = 664 chapters_per_day = total_pages / total_days print(chapters_per_day) ```,6.0
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,```python # Define the number of sacks of oranges to be harvested sacks_of_oranges = 24  # Define the number of sacks of oranges harvested per day sacks_per_day = 8  # Calculate the number of days it will take to harvest the oranges days_to_harvest = sacks_of_oranges / sacks_per_day  # Print the number of days it will take to harvest the oranges print(f"It will take {days_to_harvest} days to harvest the oranges.") ```,It will take 3 days to harvest the oranges.
Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,```python def candy_bar_cost(dan_money, total_cost, number_of_candy_bars):     cost_per_candy_bar = total_cost / number_of_candy_bars     return cost_per_candy_bar   dan_money = 3 total_cost = 4 number_of_candy_bars = 2  cost_per_candy_bar = candy_bar_cost(dan_money, total_cost, number_of_candy_bars)  print(f"Each candy bar cost ${cost_per_candy_bar}.") ```,2.0
16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seats How many people can each seat hold?,```python people_per_seat = 16 / 4 print(people_per_seat) ```,4
If Lewis earns a total of $ 460 during 5 weeks of harvest How much money does he earn each week?,```python # Define the variables Lewis_total_earnings = 460 Lewis_number_of_weeks = 5  # Calculate the amount of money Lewis earns each week Lewis_weekly_earnings = Lewis_total_earnings / Lewis_number_of_weeks  # Print the result print(f"Lewis earns ${Lewis_weekly_earnings} each week.") ```,Lewis earns $92 each week.
Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book. How many pages did he read per day?,```python pages_per_chapter = 450 / 41 pages_per_day = pages_per_chapter / 30 print(pages_per_day) ```,15
Frank was reading through some books. Each book had 249 pages and it took Frank 3 days to finish each book. How many pages did he read per day?,```python books = 249 days = 3 pages_per_day = books / days print(pages_per_day) ```,83
The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days. How much did they make per day in the first 20 days at the carnival?,```python total_days = 20 + 16 total_money = 120 + 66 money_per_day = total_money / total_days print(money_per_day) ```,10.5
Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game. How many games did she play?,```python games = 21 // 7 print(games) ```,3
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,```python water_bottles = 200 soda_bottles = 256 water_per_day = 312 soda_per_day = 4 days = soda_bottles / soda_per_day print(days) ```,64
If you had 4 bags with equal number of cookies and 36 cookies in total How many cookies does each bag have?,```python cookies_per_bag = 36 // 4 print(f"Each bag has {cookies_per_bag} cookies.") ```,Each bag has 9 cookies.
White t - shirts can be purchased in packages of 13. If mom buys 39 white t - shirts How many packages will she have?,```python packages = 39 // 13 print(packages) ```,3
An industrial machine can make 3 shirts a minute. It made 4 shirts yesterday and 8 shirts today. How many minutes did the machine work in all?,```python def shirts_per_day(shirts_per_minute, shirts_made):   return shirts_made / shirts_per_minute  def total_minutes(shirts_per_day, days):   return days * shirts_per_day  shirts_per_minute = 3 shirts_made_yesterday = 4 shirts_made_today = 8 days = 2  total_shirts_made = shirts_per_day(shirts_per_minute, shirts_made_yesterday) + shirts_per_day(shirts_per_minute, shirts_made_today) total_minutes_worked = total_minutes(shirts_per_minute, days)  print(f"The machine made {total_shirts_made} shirts in {total_minutes_worked} minutes.") ```,The output is:  The machine made 16 shirts in 14 minutes.
The ring toss game at the carnival made the same amount of money each day. In total in 30 days they earned 420 dollars. Together with game they earned 22 dollars. How much did ring toss game make per day?,```python total_money = 420 total_days = 30 total_money_with_game = 22 ring_toss_money = total_money - total_money_with_game ring_toss_money_per_day = ring_toss_money / total_days print(ring_toss_money_per_day) ```,14
You have 104 dollars. How many packs of dvds can you buy if each pack costs 26 dollars?,```python def dvd_packs(money, cost):   packs = money // cost   return packs  print(dvd_packs(104, 26)) ```,4
There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups How big is each group?,```python # Define the number of skittles and erasers in Steven's collection skittles = 3941 erasers = 4950  # Calculate the number of erasers in each group group_size = erasers / 495  # Print the number of erasers in each group print(group_size) ```,10
Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends How many cakes did each person eat?,```python crackers_per_friend = 29 // 3 cakes_per_friend = 30 // 3 print(f"Each person ate {crackers_per_friend} crackers and {cakes_per_friend} cakes.") ```,Each person ate 9 crackers and 10 cakes.
Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book. How many pages are in each chapter?,```python total_pages = 555 chapters = 5 days = 220 pages_per_chapter = total_pages / chapters days_per_chapter = days / chapters print(f"There are {pages_per_chapter} pages in each chapter.") print(f"It took Frank {days_per_chapter} days to read each chapter.") ```,There are 111 pages in each chapter. It took Frank 44 days to read each chapter.
Each pack of dvds costs 107 dollars. If there is a discount of 106 dollars on each pack How many packs of dvds can you buy with 93 dollars?,```python def dvd_packs(money, discount):   packs = money // (107 - discount)   return packs  print(dvd_packs(93, 106)) ```,1
Bryan took a look at his books as well. He has 7 bookshelves with each having the same number of books. If he has a total of 28 books How many books are there in each bookshelf?,```python books_per_shelf = 28 // 7 print(books_per_shelf) ```,4
Melissa scored 12 points in each game. If she scored a total of 36 points How many games did she play?,```python games = 36 / 12 print(games) ```,3
Brenda's mother made cookies for guests. Each guest had 2 cookies. If she prepared a total of 10 cookies How many guests did she prepare cookies for?,guests = 10 / 2 print(guests),5
He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges. How many days did it take to harvest them if they harvested 18 sacks of oranges per day?,```python sacks_per_day = 18 total_sacks = 54 days = total_sacks // sacks_per_day print(days) ```,3
A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block How many houses are there in a block?,```python def num_houses(num_mails, num_per_house):   return num_mails // num_per_house  print(num_houses(25, 5)) ```,5
Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends How many friends did he give crackers to?,```python crackers = 8 crackers_per_friend = 2 friends = crackers // crackers_per_friend print(friends) ```,4
There are 896 skittles in Steven's skittles collection. Steven also has 517 erasers and 90 scales. If the skittles are organized into 8 groups How big is each group?,```python # Define the number of skittles, erasers, and scales in Steven's collection. skittles = 896 erasers = 517 scales = 90  # Calculate the total number of items in Steven's collection. total_items = skittles + erasers + scales  # Calculate the number of skittles in each group. skittles_per_group = skittles / 8  # Print the number of skittles in each group. print(f"There are {skittles_per_group} skittles in each group.") ```,There are 112 skittles in each group.
Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs. How many groups will be created?,```python def eggs_into_groups(eggs, group_size):   groups = eggs // group_size   return groups  print(eggs_into_groups(15, 5)) ```,3
Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book. How many pages did he read per day?,```python pages_per_chapter = 612 / 24 pages_per_day = pages_per_chapter / 6 print(pages_per_day) ```,102
There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches How many baskets of peaches are there?,```python # Define the number of peaches peaches = 10  # Define the number of peaches in each basket red_peaches_per_basket = 4 green_peaches_per_basket = 6  # Calculate the total number of baskets baskets = peaches / (red_peaches_per_basket + green_peaches_per_basket)  # Print the number of baskets print(baskets) ```,2
Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178 How many weeks did the harvest last?,```python weeks = 178 // 2 print(weeks) ```,89
Debby bought 153 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for 17 days How many bottles did she drink each day?,```python def bottles_per_day(total_bottles, days):   return total_bottles // days  print(bottles_per_day(153, 17)) ```,9
Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day How many days would the water bottles last?,```python def soda_bottles_per_day(soda_bottles):   return soda_bottles / 54  def water_bottles_per_day(water_bottles):   return water_bottles / 15  def days_until_water_bottles_run_out(water_bottles, soda_bottles):   return water_bottles / water_bottles_per_day(water_bottles) - soda_bottles / soda_bottles_per_day(soda_bottles)  water_bottles = 180 soda_bottles = 95  print(days_until_water_bottles_run_out(water_bottles, soda_bottles)) ```,10
Shirley sold 10 boxes of trefoils. How many boxes are in each case if she needs to deliver 5 cases of boxes?,```python boxes_per_case = 10 / 5 print(boxes_per_case) ```,2
6 packs of dvds can be bought with 120 dollars. How much does each pack cost?,```python price_per_pack = 120 / 6 print(price_per_pack) ```,20
Frank had 33 pieces of candy. He lost 24 of them. If he put the remaining pieces into bags with 9 pieces in each bag How many bags would he have?,```python def candy_bags(total_candy, lost_candy, pieces_per_bag):     remaining_candy = total_candy - lost_candy     bags = remaining_candy // pieces_per_bag     return bags   print(candy_bags(33, 24, 9)) ```,4
Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves How many books are there in each bookshelf?,```python books_per_shelf = 34 // 2 print(books_per_shelf) ```,17
Brenda's mother made cookies for guests. If she prepared 38 cookies and each of them had 19 cookies How many guests did she prepare cookies for?,guests = 38 / 19 print(guests),2
They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard How many sets of tables do they have?,```python tables = 9 // 3 print(tables) ```,3
Luke played a trivia game and scored 154 points. If he gained the 11 points in each round How many rounds did he play?,```python rounds = 154 // 11 print(rounds) ```,14
Emily is making bead necklaces for her friends. She was able to make 6 necklaces and she had 18 beads. How many beads did each necklace need?,```python beads_per_necklace = 18 / 6 print(beads_per_necklace) ```,3
Robin has some packages of gum. There are 7 pieces in each package. Robin has 6 extra pieces of gum. In all the number of pieces of gums robin has is 41. How many packages does Robin have?,```python packages = 41 // 7 extra_pieces = 41 % 7 print(packages + extra_pieces) ```,6
For the walls of the house he would use 8 large planks of wood. If each plank of wood needs 74 pieces of nails to be secured How many planks does John need for the house wall?,```python nails_per_wall = 8 * 74 print(nails_per_wall) ```,592
You had 14 bags with equal number of cookies. If you had 28 cookies and 86 candies in total How many bags of cookies do you have?,```python cookies = 28 candies = 86 total = cookies + candies bags = total // 14 print(bags) ```,6
Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,```python def plant_flowers(total_seeds, number_of_flowerbeds):   return total_seeds // number_of_flowerbeds  print(plant_flowers(32, 8)) ```,4
Faye was placing 12 pencils equally into 3 rows. How many pencils did she place in each row?,```python pencils_per_row = 12 // 3 print(pencils_per_row) ```,4
There are 18 bananas in Philip's banana collection. If the bananas are organized into groups of size 2 How many groups are there?,```python bananas = 18 group_size = 2 groups = bananas // group_size print(groups) ```,9
He then went to see the oranges being harvested. He found out that they harvest 16 sacks per day and that each sack containes 57 oranges. How many days will it take to harvest 80 sacks of oranges?,```python # Calculate the number of oranges in 80 sacks oranges = 80 * 57  # Calculate the number of days it will take to harvest 80 sacks of oranges days = oranges / 16  # Print the number of days print(days) ```,5.0
Robin has some packages of gum. There are 3 pieces in each package and a total of 42 pieces of gum. How many packages does Robin have?,```python packages = 42 // 3 print(packages) ```,14
During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 215 by selling 5 t-shirts. What is the cost of each t-shirt?,```python cost_per_shirt = 215 / 5 print(cost_per_shirt) ```,43
Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet What is the length of her room?,```python def get_length(width, area):   return math.sqrt(area / width)  width = 7 area = 14 length = get_length(width, area) print(length) ```,2
Matthew gave 6 crackers to each his friends. If he had 36 crackers How many friends did he give crackers to?,```python def crackers(crackers, friends):   return crackers // friends  print(crackers(36, 6)) ```,6
Carol was sending out birthday invitations to 12 friends. She bought 3 packs each one having the same number of invitations. How many invitations are in each pack?,```python invitations_per_pack = 12 / 3 print(invitations_per_pack) ```,4
Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles. How many eggs will each group have?,```python eggs = 8 marbles = 6 total_items = eggs + marbles groups = 4 eggs_per_group = total_items // groups print(eggs_per_group) ```,2
Dan has $ 2. He bought some candy bar for $ 6 each one costing $ 3. How many candy bar did he buy?,```python def candy_bars(money, price):     number_of_bars = money // price     return number_of_bars   money = 2 price = 3 number_of_bars = candy_bars(money, price) print(number_of_bars) ```,0
In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself How many will each of the boys receive?,```python # Define the number of marbles Haley has marbles = 23  # Define the number of marbles Haley wants to keep keep = 15  # Calculate the number of marbles each boy will receive boys = marbles - keep  # Print the number of marbles each boy will receive print(boys) ```,8
Matthew had 22 crackers and 34 cakes. If Matthew gave equal numbers of crackers and cakes to his 11 friends How many crackers did each person eat?,```python crackers_per_person = 22 // 11 cakes_per_person = 34 // 11 print(f"Each person ate {crackers_per_person} crackers and {cakes_per_person} cakes.") ```,Each person ate 2 crackers and 3 cakes.
The school is planning a field trip. The school has 17 classrooms. There are 46 school buses and a total of 92 students in the school. If all buses are full How many seats are in each bus?,```python # Calculate the number of students per classroom students_per_classroom = 92 / 17  # Calculate the total number of students on the field trip students_on_field_trip = students_per_classroom * 17  # Calculate the number of seats on each bus seats_per_bus = students_on_field_trip / 46  # Print the number of seats on each bus print(seats_per_bus) ```,2
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day. How many days will it take to fill 240 drums of grapes?,```python pickers = 36 drums_per_day = 8 total_drums = 240 days = total_drums / (pickers * drums_per_day) print(days) ```,3
