question,correct,model
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning.,25.0,106
Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether,4.0,4
Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection.,33.0,33
Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar.,12.0,4
Kelly has 22 nintendo games.,118.0,118
A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today.,7.0,10
Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar.,7.0,7
There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase.,9.0,9
After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging.,34.0,34
22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus.,60.0,16
There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies,1.0,1
A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes,80.0,103
Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars.,4.0,14
Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially,16.0,16
23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus.,15.0,11
Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes,137.0,137
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet,81.0,90
Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax,469.0,469
There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket.,3.0,3
Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds.,34.0,15
Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday.,2.0,2
"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda.",98.0,148
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper.",21.0,23
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.,4.0,16
Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies.,13.0,13
Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.,5.0,5
Paul had 115 books. He sold 78 books in a garage sale.,37.0,37
Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection.,21.0,107
A grocery store had 67 bottles of regular soda and 9 bottles of diet soda.,58.0,58
A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple.,8.0,8
Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches.,5.0,2
Josh had 20 marbles in his collection. He gave 2 marbles to Jack.,18.0,18
Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill.,8.0,61
Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peaches,13.0,10
"A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples.",29.0,29
Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes,61.0,61
Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left.,1.0,56
Kelly has 106 nintendo games.,42.0,42
Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars.,56.0,56
Jack received 6 emails in the morning and 2 emails in the afternoon.,4.0,4
Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes,76.0,76
They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party,2.0,4
Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars.,21.0,21
Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookies,2.0,2
Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches.,7.0,7
A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda.,2.0,2
Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initially,127.0,41
Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the park,1.0,4
"Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish.",1.0,1
2 birds were sitting on the fence. 5 more birds and 4 more storks came to join them.,3.0,7
Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies.,7.0,7
Baker made 170 cakes. He sold 78 of them and bought 31 new cakes.,47.0,47
There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase.,19.0,9
Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar.,12.0,12
Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes.,184.0,73
Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour.,1.0,1
There are 62 different movies and 19 different books in the ' crazy silly school ' series. If you read 4 of the books and watched 34 of the movies,15.0,Failed to get answer
41 children were riding on the bus. At the bus stop some children got off the bus. Then there were 18 children left on the bus.,23.0,23
Danny collects bottle caps and wrappers. He found 30 bottle caps and 14 wrappers at the park. Now he has 7 bottle caps and 86 wrappers in his collection.,16.0,16
Edward spent $ 16 to buy books and $ 8 to buy pens. Now he has $ 19.,8.0,8
Dan has $ 4. He had $ 3 left with him after he bought a candy bar.,1.0,1
Paul got a box of 253 crayons for his birthday. By the end of the school year he had either lost or given away 70 of them.,183.0,183
Zachary did 51 push-ups in gym class today. David did 22 more push-ups than Zachary. John did 4 push-ups less than David.,69.0,73
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 519 chocolate chip cookies and 300 raisin cookies yesterday. And she baked 280 raisin cookies and 359 chocolate chip cookies this morning.,20.0,20
"A grocery store had 81 bottles of regular soda, 60 bottles of diet soda and 60 bottles of lite soda.",21.0,21
Edward had $ 13. He spent some money. Now he has $ 3.,10.0,10
Ed had 19 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has 8 more marbles than doug.,11.0,11
"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.",26.0,100
Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes,65.0,65
A waiter had 14 customers. 5 customers left.,9.0,9
Mary is baking a cake. The recipe calls for 11 cups of sugar and 9 cups of flour. She already put in 12 cups of flour and 10 cups of sugar.,1.0,1
The Razorback t-shirt shop makes $ 106 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 t-shirts. If they sold 115 t-shirts during the Arkansas game,127.0,127
Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower.,26.0,26
Allan brought 2 balloons and Jake brought 3 balloons to the park.,1.0,1
"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish.",3.0,3
Paul had 108 books. After selling some books in a garage sale and giving 35 books to his friend he had 62 books left.,11.0,31
Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left.,91.0,101
Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones.,7.0,11
Mary is baking a cake. The recipe calls for 9 cups of sugar 7 cups of flour and 4 cups of salt. She already put in 2 cups of flour.,1.0,3
Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf,6.0,19
Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons.,410.0,410
"Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening.",2.0,2
Jack received 6 emails in the morning and 8 emails in the afternoon.,2.0,2
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning.,131.0,131
Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches.,6.0,4
Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery,4.0,4
Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish.,3.0,3
A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long.,37.0,37
"6 green peaches, 60 yellow peaches and 2 red peaches are in the basket.",4.0,4
There were 22 parents in the program and 676 people in total.,654.0,654
Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g,28.0,28
Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour.,3.0,8
Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches.,1.0,18
Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples.,7.0,11
There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books,5.0,5
There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left.,89.0,109
A waiter had 11 customers. After some left he still had 3 customers.,5.0,8
Katie had 81 ds games and her friends had 59 games.,22.0,22
Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday.,1.0,1
Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday.,14.0,14
Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf.,3.0,5
Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left.,9.0,9
Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes.,78.0,78
David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary.,35.0,35
There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase.,13.0,13
Baker made 13 cakes. He sold 91 of them and bought 154 new cakes.,63.0,63
He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day.,11.0,11
"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was 79. If 24 snakes and 51 alligators were hiding",4.0,14
Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now,32.0,32
There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase.,25.0,17
Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf.,1.0,5
In a school there are 34 girls and 841 boys.,807.0,807
Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy,18.0,18
53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening.,4.0,4
"Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening.",2.0,2
Rachel had to complete 3 pages of math homework and 4 pages of reading homework.,1.0,1
A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long.,43.0,43
There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies,4.0,4
The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys.,158.0,158
"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially",23.0,10
Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now,5.0,5
They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables,117.0,126
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds.,12.0,18
Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar.,11.0,11
Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia,47.0,47
Zachary did 51 push-ups and David did 44 push-ups in gym class today.,7.0,7
Mary is baking a cake. The recipe calls for 6 cups of flour 8 cups of sugar and 7 cups of salt. She already put in 5 cups of flour.,1.0,1
Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left.,14.0,14
Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe,2.0,2
Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes,314.0,314
"Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday.",2.0,2
In a school there are 402 more girls than boys. If there are 739 girls,337.0,337
For Gwen's birthday she received 2 dollars from her mom. Her dad gave her 4 more dollars. If she spent 3 dollars.,3.0,7
Randy has 37 blocks. He uses 33 blocks to build a tower and 13 blocks to build a house.,20.0,20
Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes.,6.0,6
Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon.,1.0,1
Jake has 3 fewer peaches and 10 more apples than Steven. Steven has 12 peaches and 15 apples.,3.0,3
Rachel had to complete 5 pages of math homework and 2 pages of reading homework.,3.0,3
Jesse's room is 19 feet wide and 20 feet long.,1.0,1
Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser.,70.0,60
Mary is baking a cake. The recipe calls for 5 cups of sugar and 14 cups of flour. She already put in 11 cups of flour.,2.0,4
Adam has 10 apples. Jackie has 2 apples.,8.0,8
Jerry had 5 action figures and 2 books on a shelf in his room. Later he added 9 more books to the shelf.,6.0,11
Danny collects bottle caps and wrappers. He found 82 wrappers and 29 bottle caps at the park. Now he has 42 bottle caps and 61 wrappers in his collection.,13.0,11
At the arcade Dave had won 13 tickets. If he used 8 to buy some toys and 18 more to buy some clothes,10.0,10
Marco and his dad went strawberry picking. Together their strawberries weighed 35 pounds. Marco's strawberries weighed 13 pounds.,9.0,22
"19 red peaches, 11 yellow peaches and 12 green peaches are in the basket.",8.0,8
For Gwen's birthday she received 8 dollars from her mom. Her dad gave her 5 more dollars. If she spent 4 dollars.,3.0,3
Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left.,11.0,11
Paco had 39 sweet cookies and 6 salty cookies. He ate 23 salty cookies and 32 sweet cookies.,9.0,9
Haley grew 13 trees in her backyard. After a typhoon 6 died.,1.0,7
Julia played tag with 18 kids on monday. She played tag with 10 kids on tuesday.,8.0,8
Kelly has 46 nintendo games and 132 sony games.,101.0,41
5 red peaches and 11 green peaches are in the basket.,6.0,6
"Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework.",7.0,7
Josh had 4 marbles in his collection. He lost 16 marbles and found 8 new ones.,8.0,8
Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection.,17.0,17
Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left.,3.0,3
Paul had 71 books. After selling some in a garage sale he bought 38 new ones. If he has 116 books now,45.0,19
Kelly has 20 nintendo games and 70 sony games.,8.0,8
Julia played tag with 11 kids on monday. She played tag with 12 kids on tuesday.,1.0,1
Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. The next day she found 7 more bags worth of cans.,1.0,1
Because of the decision Sofia asked the students to suggest specific types of food. 457 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 63 more students suggested adding mashed potatoes than those that suggested bacon,394.0,394
5 storks and 3 birds were sitting on the fence. 4 more birds came to join them.,2.0,10
Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies.,7.0,7
Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar.,6.0,6
There are 8 different books and 10 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 61 of the movies,2.0,2
At the arcade Dave had won 7 tickets. He used some tickets to buy toys. If he still has 2 tickets left,5.0,5
Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chinese,5.0,5
Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches.,2.0,5
"2 red peaches, 6 yellow peaches and 14 green peaches are in the basket.",8.0,8
Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday,1.0,1
Bobby ate 38 pieces of candy. Then he ate 36 more. He also ate 16 pieces of chocolate.,58.0,62
A waiter had 8 customers. After some left he still had 5 customers. Then he got 99 new customers,3.0,88
Jake has 3 fewer peaches and 4 more apples than Steven. Steven has 19 apples and 15 peaches.,4.0,4
Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese.,1.0,1
Paco had 28 cookies. He ate some of them and had 7 cookies left.,21.0,21
Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies,34.0,34
Mary is baking a cake. The recipe calls for 12 cups of flour 14 cups of sugar and 7 cups of salt. She already put in 2 cups of flour.,3.0,5
There were 15 roses in the vase. Jessica threw away 33 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 17 roses in the vase.,2.0,16
Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars.,60.0,57
Jake has 7 fewer peaches than Steven and 9 more peaches than Jill. Steven has 16 peaches.,9.0,22
46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon.,3.0,3
A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book,31.0,31
Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 3 invitations in it and she bought 2 packs. If she wants to invite 9 friends,3.0,3
Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David.,30.0,54
Ed had 2 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has 19 more marbles than doug.,17.0,15
Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left.,140.0,120
Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection.,6.0,6
The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.,66.0,74
Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons.,322.0,322
In a school there are 569 girls and 236 boys.,333.0,333
The Ferris wheel in paradise park has 6 seats. Each seat can hold 14 people. If there are 16 people on the wheel right now,68.0,104
After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially,25.0,25
Haley grew 20 trees in her backyard. After a typhoon 4 trees were left.,16.0,16
Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches.,8.0,5
Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left.,92.0,38
Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary.,4.0,4
Paul had 42 pens and 143 books. After selling some books and pens in a garage sale he had 113 books and 19 pens left.,23.0,23
Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection.,12.0,12
Dan has $ 4. He bought 99 candy bar for $ 3 each one costing the same amount of money.,1.0,1
5 children were riding on the bus. At the bus stop 63 children got off the bus while some more got on the bus. Then there were 14 children altogether on the bus.,9.0,68
Mary is baking a cake. The recipe calls for 3 cups of sugar and 10 cups of flour. She already put in some cups of flour. If she still needs 5 more cups of flour than sugar,2.0,8
Bobby had 19 pieces of candy. He ate 2 pieces of candy.,17.0,17
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 705 visitors came to the Buckingham palace that day. If there were 191 visitors the previous day and 457 visitors the day before that",57.0, the number of visitors on that day is 157 + 648 = 805 more than the previous 245 days. 
Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left.,42.0,42
Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds.,19.0,19
Marco and his dad went strawberry picking. Marco's strawberries weighed 15 pounds. If together their strawberries weighed 37 pounds.,22.0,22
Paul got a box of 521 crayons and 66 erasers for his birthday. At the end of the school year he only had 154 left while not having lost a single erasers.,367.0,367
David did 56 more push-ups than Zachary in gym class today. If David did 38 push-ups,20.0,94
Danny collects bottle caps and wrappers. He found 10 bottle caps and 62 wrappers at the park. Now he has 27 bottle caps and 43 wrappers in his collection.,16.0,16
4 birds and 3 storks were sitting on the fence. 6 more storks came to join them.,5.0,11
Jessie weighed 114 kilograms. After she started to go jogging everyday she lost 50 kilograms in the first week and 60 kilograms in the second week.,4.0,44
"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday.",6.0,6
A waiter had 3 customers. After some more arrived he had 8 customers.,5.0,5
"Jack received 3 emails in the afternoon, 6 emails in the morning and some more in the evening. If he received a total of 10 emails in the day",1.0,1
The school is planning a field trip. The school has 102 classrooms. There are 11 students in the school and 99 seats on each school bus. If 8 students do n't want to go for the trip,3.0, then 1114 / 99 = 11 school buses are needed. 
Jesse's room is 11 feet long and 15 feet wide. If she already has 16 square feet of carpet,149.0,104
Jake has 6 fewer peaches and 8 more apples than Steven. Steven has 17 peaches and 16 apples.,1.0,1
Danny collects bottle caps. He threw away 60 of the old ones at the park while he found 58 bottle caps new ones. Now he has 67 bottle caps in his collection.,69.0,195
Nell collects baseball cards. She had 573 cards. She gave 195 cards to John and yet some more to Jeff. Now she has 210 cards left.,168.0,168
Next on his checklist is wax to stick the feathers together. If he currently has 11 g of wax and the feathers require a total of 492 g of wax,481.0,481
Steven has 19 peaches. Jake has 12 fewer peaches than Steven and 72 more peaches than Jill.,7.0,103
