question,correct,model
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves,460.0,460
Shirley sold 25 cases of boxes of trefoils.,350.0,350
We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us,68.0,68
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.,72.0,18
The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game,1092.0,1112
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges.,280.0,280
The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people.,84.0,84
There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block,640.0,640
There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches.,14.0,14
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all,6840.0,10 + 10 = 20
A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block,48.0,48
There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187,26180.0,26180
He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it.,2184.0,184 saltwater animals.
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day.,1848.0,1848
Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures.,80.0,80
The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys.,152.0,152
Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads.,52.0,52
For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks.,32.0,32
The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts.,5590.0,The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. So the price of each t-shirt after the discount is $ 51 - $ 8 = $ 43. So the total amount of money they made from selling the t-shirts is $ 43 * 130 = $ 5590.
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day.",35624.0, which is 12688
A book has 31 chapters. Each chapter is 61 pages long.,1891.0, which is 961. 1901
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day.",17017.0, which is 11492. Adding 221 to
He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day.,1080.0, which is 1080. 1080 sacks of unripe oranges will be harvested after 45 days.
The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys.,25740.0, which is 5940. 25940
After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet,60.0,60
There are 466 pots. Each pot has 53 flowers and 181 sticks in it.,109044.0, which is 6552. Adding  Correct. The word problem can be solved by multiplying 234 by 466.
He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day.,390.0,390
Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package.,405.0,Robin has 405 pieces of candy.
Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week,324775.0, which is 7700. Adding  ``` ```
Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row.,70.0,70
Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people.,5700.0,10 + 10 = 20
Faye was placing her pencils into rows with 16 pencils in each row. She had 28 packs of pencils each one having 24 pencils.,42.0,28
He had 15 aquariums for saltwater animals and 62 aquariums for freshwater animals. Each aquarium has 19 animals in it.,1463.0,The answer is 1463.
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day.,365.0, which is 32
The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus.,11210.0,210
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row.,720.0,720
Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week,93899.0, which is 2055
He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them.,600.0,600
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days,12.0,12
If each pack costs 81 dollars,2673.0, which is 2673. 2673
There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches.,308.0,The word problem can be solved by multiplying 28 by 11.  11 baskets * 10 red peaches / basket = 110 red peaches. 11 baskets * 18 green peaches / basket = 198 green peaches. 110 red peaches + 198 green peaches = 308 peaches.
He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them.,153.0,153
Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row.,186.0,186
The school has 304 grades and each grade has 75 students,22800.0, which
Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row.,76.0,76
The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts.,5852.0, which is 5852.
The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken,120.0,120
The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus,737.0, then 4422 / 6 = 737 buses are needed.
The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game,8265.0,8285
Every day Ryan spends 5 hours on learning english and 4 hours on learning chinese. If he learns for 6 days,24.0,24
Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs,22.0,22
Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets.,44.0,44
We ordered 9 pizzas. Each pizza has 10 slices. If there are 2 of us,45.0,45
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges.,143550.0,10 + 10 = 20
Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. If he learns for 5 days,65.0,The answer: 65
Ryan learns english and chinese for 7 days. Every day he spends 4 hours on learning english and 5 hours on learning chinese.,63.0,The answer is 63
The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.,3168.0,The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. So they made 144 * 22 = 3168 dollars.
Each basket of peaches has 19 red peaches and 4 green peaches. If there are 15 such baskets,345.0,Correct. The word problem can be solved by multiplying 23 by 15.
He then went to see the oranges being harvested. He found out that they harvest 82 sacks of ripe oranges and 61 sacks of unripe oranges per day.,2050.0,The answer is 2050.
He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges.,420.0, which is 360. 420 oranges are harvested if they harvest a total of 35 sacks of oranges.
He also had 74 aquariums for freshwater animals and 22 aquariums for saltwater animals. Each aquarium has 46 animals in it.,1012.0, which is 1012. 1012 saltwater animals.
Lewis earns $ 368 every week during the 1359 weeks of harvest. If he has to pay $ 388 rent every week,527292.0, which is 197
He then went to see the oranges being harvested. He found out that they harvest 28 sacks of ripe oranges and 52 sacks of unripe oranges per day.,2080.0,The answer is 2080.
The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys.,11346.0, which is
Faye was placing her pencils and crayons into 16 rows with 6 crayons and 21 pencils in each row.,96.0,96
Bryan took a look at his books and magazines. If he has 23 books and 61 magazines in each of his 29 bookshelves,2436.0, which is 2436. The answer is 2436.
Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row.,210.0,210
In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy,99.0,99
An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today.,72.0,The machine made 72 shirts today.
After resting they decided to go for a swim. The depth of the water is 16 times Ron's height. Dean is 9 feet taller than Ron. If Ron stands at 13 feet,208.0,208
Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days,8066.0, which is 5777.
An industrial machine can make 6 shirts a minute. It worked for 12 minutes yesterday and for 14 shirts today.,156.0,The answer is 156.
Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package.,112.0,112
White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers,3021.0,get 3021. 3021
Bryan took a look at his books and magazines. If he has 27 books and 80 magazines in each of his 23 bookshelves,621.0,621
Luke gained 146 points in each round of a game. If he played 157 rounds of a trivia game,22922.0, which is 
"Being his favorite, he saved checking on the grapevines after 57 stops. He was told by 252 of the pickers that they fill 108 drums of grapes per day.",6264.0, which is 5724. Adding
A mailman has to give 4 pieces of junk mail to each house in each of the 16 blocks. If there are 17 houses in each block,1088.0,10 + 10 = 20
Lewis earns $ 28 every week during the 1091 weeks of harvest. He also earns $ 939 per week for working overtime. If he works overtime every week,1054997.0, which is 48340.
Melissa scored 109 points in each game. She also got 82 bonus points in each game.,15089.0, which is 1
After resting they decided to go for a swim. The depth of the water is 9 times Dean's height. If Ron is 15 feet tall and Dean is 6 feet shorter than Ron,81.0,81
Paige was helping her mom plant flowers and together they planted 55 seeds. They put 15 seeds in each flower bed and only 60 seeds grew into flowers in each flower bed.,220.0,180
