question,correct,model
There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups,10.0,10.0 10
Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends,15.0,= 15 15
Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book.,111.0,/ 220.0 = 11.0 pages / day 11.0 pages / day * 220 days = 2420 pages
Each pack of dvds costs 107 dollars. If there is a discount of 106 dollars on each pack,93.0,1
Bryan took a look at his books as well. He has 7 bookshelves with each having the same number of books. If he has a total of 28 books,4.0,= 4 4
Melissa scored 12 points in each game. If she scored a total of 36 points,3.0,= 3 3
Brenda's mother made cookies for guests. Each guest had 2 cookies. If she prepared a total of 10 cookies,5.0,= 5 5
He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges.,3.0,= 3 days 3
A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block,5.0,= 5 5
Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends,4.0,= 4 4
There are 896 skittles in Steven's skittles collection. Steven also has 517 erasers and 90 scales. If the skittles are organized into 8 groups,112.0,= 112 112
Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs.,3.0,+ 1 = 3 + 1 = 4 4
Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book.,102.0,/ 24 = 15.0 15
There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches,1.0,2
Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178,89.0,= 89 89
Debby bought 153 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for 17 days,9.0,= 9.0 9
Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day,12.0,= 12 12
Shirley sold 10 boxes of trefoils.,2.0,= 2 2 boxes
6 packs of dvds can be bought with 120 dollars.,20.0,= 20 20
Frank had 33 pieces of candy. He lost 24 of them. If he put the remaining pieces into bags with 9 pieces in each bag,1.0,3
Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves,17.0,= 17 17
Brenda's mother made cookies for guests. If she prepared 38 cookies and each of them had 19 cookies,2.0,= 2
"They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard",3.0,= 3 3
Luke played a trivia game and scored 154 points. If he gained the 11 points in each round,14.0,= 14 rounds 14
Emily is making bead necklaces for her friends. She was able to make 6 necklaces and she had 18 beads.,3.0,= 3.0 3
Robin has some packages of gum. There are 7 pieces in each package. Robin has 6 extra pieces of gum. In all the number of pieces of gums robin has is 41.,5.0,5
For the walls of the house he would use 8 large planks of wood. If each plank of wood needs 74 pieces of nails to be secured,8.0,* 74 = 592  The answer: 592
You had 14 bags with equal number of cookies. If you had 28 cookies and 86 candies in total,2.0,= 2
Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bed,4.0,= 4 4
Faye was placing 12 pencils equally into 3 rows.,4.0,= 4 4 pencils
There are 18 bananas in Philip's banana collection. If the bananas are organized into groups of size 2,9.0,9
He then went to see the oranges being harvested. He found out that they harvest 16 sacks per day and that each sack containes 57 oranges.,5.0,* 57 = 3040 3040 / 57 = 53
Robin has some packages of gum. There are 3 pieces in each package and a total of 42 pieces of gum.,14.0,= 14 14
During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 215 by selling 5 t-shirts.,43.0,= 43 43
Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet,2.0,= 2.0 2
Matthew gave 6 crackers to each his friends. If he had 36 crackers,6.0,= 6 friends 6
Carol was sending out birthday invitations to 12 friends. She bought 3 packs each one having the same number of invitations.,4.0,= 4 4 invitations
Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles.,2.0,= 2.0 2
Dan has $ 2. He bought some candy bar for $ 6 each one costing $ 3.,2.0,= 2 candy bars 2
In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself,2.0,4
Matthew had 22 crackers and 34 cakes. If Matthew gave equal numbers of crackers and cakes to his 11 friends,2.0,= 2 crackers 2
The school is planning a field trip. The school has 17 classrooms. There are 46 school buses and a total of 92 students in the school. If all buses are full,2.0,= 2.0 2
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day.",30.0,/ 36.0 = 10.0 10
Frank was reading through his favorite book. The book had 193 pages equally distributed over 15 chapters. It took Frank 660 days to finish the book.,44.0,/ 193.0 = 2.5 2.5 chapters
Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends.,6.0,= 6 6
Melissa scored a total of 91 points in 13 games scoring the same for each game.,7.0,= 7.0 7
The school is planning a field trip. The school has 21 classrooms. There are 98 students in the school and 7 school buses. If all buses are full,14.0,= 14 14
White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total,2.0,= 2.0 2
If you had 33 cookies and each bag has 11 cookies,3.0,3
There are 270 students in a school. If the school has 5 students in each grades and each grade has the same number of students,54.0,54
A mailman has to give 32 pieces of junk mail to each of the 55 blocks. If he gives 8 mails to each house in a block,4.0,= 4 4
Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies,1.0,= 2
He had a total of 40 saltwater animals in different aquariums. Each aquarium has 2 animals in it.,20.0,= 20 20 aquariums
Bryan took a look at his books as well. If he has a total of 42 books and each bookshelf contains 2 books,21.0,= 21 21 bookshelves
There are 203 bananas and 63 oranges in Philip's collection. If the bananas are organized into 7 groups and oranges are organized into 95 groups,29.0,= 29 29
There are 87 oranges and 290 bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into 93 groups,145.0,= 145 145
There are 384 oranges and 192 bananas in Philip's collection. If the bananas are organized into 345 groups and oranges are organized into 16 groups,24.0,= 24 24
Frank was reading through his favorite book. The book had 392 pages and he read 14 pages per day.,28.0,Failed to get answer
Faye was placing her pencils into rows with 5 pencils in each row. If she had 35 pencils and 7 crayons,7.0,+ 1 = 7 rows 7
The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time,5.0,= 5 5
A mailman gives 2 junk mails to each house in a block. If the mailman has to give 14 pieces of junk mail to each block.,7.0,= 7 7
Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 32 crackers and 98 cakes initially,8.0,= 8.0 8
He then went to see the oranges being harvested. He found out that they harvested 56 sacks of oranges.,4.0,= 4.0 4
For 19 weeks of harvest Lewis earns a total of $ 133.,7.0,= 7.0 Lewis earns $ 7.0 each week.
If you have 14 cookies in total and 7 bags having equal number of cookies,2.0,= 2 2
Matthew gave equal numbers of crackers to his 18 friends. If he had 36 crackers,2.0,= 2 2 crackers
For the walls of the house he would use 11 nails in all to secure large planks of wood. If each plank needs 3 pieces of nails to be secured and an additional 8 nails were used.,1.0,= 3
The school is planning a field trip. The school has 24 classrooms. There are 120 students in the school with each classroom having the same number of students. There are 84 seats on each school bus.,5.0,= 5.0 5
He then went to see the oranges being harvested. He found out that the harvest will go on for 4 days.,14.0,= 14 14 sacks
Jesse's room is 7 feet long. If she needs a carpet of size 14 square feet,2.0,= 2.0 2
"They decided to hold the party in their backyard. They have 2 sets of tables, each having the same number of chairs. If there are a total of 12 chairs in the backyard",6.0,= 6 6
Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day,22.0,= 22 days 22
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection,2.0,2.0
In Haley's class 13 boys love to play marbles and 50 boys love to play cards. If Haley has 26 marbles,2.0,= 2.0 2
Rebecca wants to split a collection of marbles into groups of 4. Rebecca has 10 eggs and 20 marbles.,5.0,= 5 5
Faye was placing some pencils equally into 2 rows. If she had 6 pencils,3.0,= 3 3
Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12.,3.0,= 3.0 3
Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package.,7.0,* 6.0 60
Jesse's room is 2 feet long and 12 feet wide. If each tile is of size 4 square feet,6.0,36 36
The school is planning a field trip. The school has 66 classrooms. There are 102 students in the school and 8 seats on each school bus. If 22 students do n't want to go for the trip,10.0,13
4 people can ride the Ferris wheel in paradise park at the same time. If each seat on the Ferris wheel can hold 2 people,2.0,= 2 2
"Frank was reading through his favorite book. The book had 3 chapters, each with the same number of pages. It has a total of 594 pages. It took Frank 607 days to finish the book.",198.0,Failed to get answer
Lewis earns a total of $ 1216 during the harvest. If he earns $ 16 each week,76.0,= 76 76
The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars.,33.0,= 33.0 33
The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time,2.0,= 2 seats 2
With 28 dollars 2 packs of dvds can be bought.,14.0,= 14.0 14
If each bag has 3 cookies and you had 21 cookies in total,7.0,= 7 7
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 94 of the pickers that they fill 90 drums of grapes in 6 days.",15.0,= 15 15 drums of grapes would be filled per day.
Jesse needs a carpet of size 10 square feet to cover her room. If her room is 5 feet long,2.0,= 2.0 2
There are 4502 skittles in Steven's skittles collection. Steven also has 4276 erasers. If the skittles and erasers are organized into 154 groups,57.0,9.0
Frank was reading through some books. Each book had 66 pages and it took Frank 12 days to finish each book. If he takes 492 days to finish all books,41.0,/ 66.0 = 7.0 7
In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy,2.0,= 2 2
Luke scored 84 points after playing 2 rounds of a trivia game. If he gained the same number of points each round,42.0,= 42 42
Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed.,3.0,= 3 flower beds 3
