question,correct,model
Last week Fred had 47 dollars and Jason had 99 dollars. Over the weekend Fred delivered newspapers earning 111 dollars and washed cars earning 34 dollars.,192.0,145
A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long.,125.0,91
"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket.",30.0,20
In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school.,1124.0,1144
Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 14 invitations in it and she bought 6 packs. Then she bought 11 extra invitations.,95.0,95
During summer break 644997 kids from Lawrence county stayed home and the other 893835 kids went to camp. An additional 78 kids from outside the county attended the camp.,1538832.0,1542739
"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening.",14.0,14
For the walls of the house he would use 13 large planks of wood. If each plank of wood needs 17 pieces of nails to be secured and in addition 8 nails are needed for some smaller planks.,229.0,229
A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda,83.0,83
"Rachel had to complete 8 pages of math homework, 7 pages of reading homework and 3 more pages of biology homework.",11.0,11
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday.,450.0,55
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 144 chocolate chip cookies and 397 raisin cookies yesterday. And she baked 85 raisin cookies and 403 chocolate chip cookies this morning.,482.0,482
Rachel picked 2 ripe apples from her tree. Now the tree has 7 apples still on it. If 6 of those are ripe and the rest are unripe,8.0,8
Randy has some blocks. He uses 52 blocks to build a tower. If there are 38 blocks left,90.0,88
They decided to hold the party in their backyard. They have 12 sets of tables and each set has 14 chairs. There are also 6 chairs extra.,174.0,174
Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.,27.0,29
Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of reading homework than math homework,23.0,23
In a school there are 700 girls and the rest are boys. If there are 142 more boys than girls,1542.0,1542
Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining.,14.0,14
Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds.,40.0,40
Kelly gives away 91 nintendo games.,183.0,183
Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum.,997.0,995
For the walls of the house he would use 12 large planks of wood and 17 small planks. If each large plank of wood needs 14 pieces of nails to be secured and each small plank needs 25 nails.,29.0,29
Baker made some cakes. He sold 145 of them. If he still has 72 cakes left,217.0,217
Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week.,211.0,213
13 campers went rowing and 59 campers went hiking in the morning. 21 campers went rowing in the afternoon.,34.0,34
Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles.,30.0,25
For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails.,20.0,20
"After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day",745.0,745
"Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday.",34.0,36
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog.",45.0,45
Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples.,25.0,25
Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work.,14.0,14
Tiffany was collecting cans for recycling. On monday she had 10 bags of cans. She found 3 bags of cans on the next day and 7 bags of cans the day after that.,20.0,16
The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches.,66.0,66
3 birds and 4 storks were sitting on the fence. 6 more storks came to join them.,13.0,16
Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19.,41.0,35
"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework.",16.0,16
Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left,17.0,17
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 527 chocolate chip cookies and 86 raisin cookies yesterday. And she baked 86 raisin cookies and 554 chocolate chip cookies this morning.,1081.0,1081
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds.,16.0,Failed to get answer
"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket",13.0,13
At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left,26.0,28
Jake has 9 fewer peaches than Steven and 18 more peaches than Jill. Steven has 16 peaches.,27.0,27
Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary.,146.0,146
Edward spent $ 4 to buy books and $ 3 to buy pens. Now he has $ 12.,7.0,7
Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7.,14.0,14
"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket.",22.0,22
Robin's hair was 19 inches long. If he grew 18 more inches,37.0,37
In a school there are 706 girls and 222 boys. 418 more girls joined the school.,1346.0,1346
Nell collects baseball cards. She gave 301 of her cards to Jeff and now has 154 cards left..,455.0,509
"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday.",33.0,25
36 campers went rowing in the morning 13 campers went rowing in the afternoon and 49 campers went rowing in the evening.,98.0,98
Allan brought 7 balloons and 5 balls while Jake brought 6 balloons and 4 balls to the park.,9.0,9
There were 10 roses in the vase. Jessica cut 8 more roses from her flower garden and put them in the vase.,18.0,18
Bobby ate 33 pieces of candy. Then he ate 4 more. He also ate 14 pieces of chocolate.,51.0,21
Rachel had to complete 8 pages of math homework. If she had to complete 6 more pages of reading homework than math homework,14.0,14
Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon.,8.0,8
Katie had 91 ds games and her new friends had 88 games and old friends had 53 games.,141.0,141
Paul got a box of some crayons for his birthday. During the school year he gave 52 crayons to his friends while he lost 535 crayons. If he only had 492 crayons left,587.0,135
4 birds and 46 storks were sitting on the fence. 6 more birds came to join them.,10.0,10
41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon.,71.0,71
Zachary did 19 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 13 push-ups less than david.,58.0,58
The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days.,756.0,766
Bobby had 20 pieces of candy. He ate 34 pieces of candy. Then he ate 18 more.,52.0,52
"Julia played tag with 5 kids on monday, 9 kids on tuesday and 15 kids on wednesday.",20.0,20
Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. She found 10 bags of cans on the next day and 4 bags of cans the day after that.,14.0,14
"There were 73 parents, 724 pupils and 744 teachers in the program.",1541.0,1468
At the stop 8 more people got on the train. Initially there were 11 people on the train.,19.0,19
There are 65 baskets of peaches. Each basket has 7 red peaches and 3 green peaches.,10.0,10
Winter is almost here and most animals are migrating to warmer countries. There are 49 bird families living near the mountain. 59 bird families flew away for winter and 24 new bird families came to live near the mountain from the arctic.,14.0,34
Josh had some marbles in his collection. He lost 21 marbles. If he has 12 marbles now,33.0,33
Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms.,128.0,128
Dan has $ 3 left with him after he bought a candy bar for $ 2.,5.0,5
Zachary did 53 push-ups and 14 crunches in gym class today. David did 17 more push-ups but 10 less crunches than zachary.,67.0,74
Tiffany was collecting cans for recycling. On monday she had 3 bags of cans. The next day she found 7 more bags of cans and 44 bags of bottles.,10.0,10
Every day Ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish.,16.0,16
In a school there are 635 girls and the rest are boys. If there are 510 more boys than girls,1145.0,1195
"Rachel had to complete 9 pages of math homework, 11 pages of reading homework and 29 more pages of biology homework.",20.0,20
Every day Ryan spends 5 hours on learning chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning chinese,7.0,7
"Julia played tag with 2 kids on monday, 14 kids on tuesday and 16 kids on wednesday.",30.0,30
21 children were riding on the bus. At the bus stop 10 children got off the bus while some more got on the bus. Then there were 16 children altogether on the bus.,5.0,5
Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them.,67.0,68
Paul got a box of some crayons for his birthday. By the end of the school year he only had 291 crayons left since he had either lost or given away 315 of them.,606.0,606
Jack received 5 emails and 6 letters in the morning. He then received 9 emails and 7 letters in the afternoon.,13.0,13
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles,21.0,21
Bobby ate 28 pieces of candy. Then he ate 42 more. He also ate 63 pieces of chocolate.,70.0,60
There were 61 parents in the program and 177 pupils too. The program could seat 44 people,238.0,248
Every day Ryan spends 4 hours on learning english and 6 hours on learning chinese. If he learns for 86 days,10.0,10
"A grocery store had 30 bottles of regular soda, 8 bottles of diet soda and 41 apples.",38.0,38
Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g,574.0,574
26 children were riding on the bus. At the bus stop 38 more children got on the bus.,64.0,69
Josh had 21 marbles in his collection. He found 7 marbles.,28.0,29
During summer break 610769 kids from Lawrence county go to camp and the other 590796 kids stay home. An additional 22 kids from outside the county attended the camp.,1201565.0,1201565
Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches.,2.0,2
Edward spent $ 16 to buy 92 books each book costing him the same amount of money. Now he has $ 6.,22.0,22
During summer break 34044 kids from Lawrence county go to camp and the other 134867 kids stay home. An additional 424944 kids from outside the county attended the camp.,458988.0,8823
Jake has 13 fewer peaches and 3 more apples than Steven. Steven has 9 peaches and 8 apples.,11.0,8
Josh had 22 marbles in his collection. Jack gave him 20 marbles.,42.0,42
Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon.,10.0,no answer
"Lucy went to the grocery store. She bought 4 packs of cookie, 22 packs of cake and 16 packs of chocolate.",42.0,Failed to get answer
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 92 visitors came to the Buckingham palace that day. If there were 419 visitors the previous day and 103 visitors the day before that",522.0,525
Rachel has 3 apple trees. She picked 8 apples from each of her trees. Now the trees have a total 9 apples still on them.,33.0,33
For Gwen's birthday she received some dollars. She spent 8 dollars and has 6 dollars left with her.,14.0,14
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection.,91.0,91
During summer break 907611 kids from Lawrence county stay home and the other 455682 kids go to camp.,1363293.0,1363393
Jerry had 8 action figures and 9 books on a shelf in his room. Later he added 10 more books to the shelf.,19.0,19
4 birds and 6 storks were sitting on the fence. 2 more storks came to join them.,8.0,8
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6.,13.0,13
Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf.,10.0,10
Mary is baking a cake. The recipe calls for 11 cups of sugar and some more cups of flour. She already put in 3 cups of flour. If she still needs to add 6 more cups of flour,9.0,9
3 birds and 2 storks were sitting on the fence. 5 more birds came to join them.,10.0,10
Julia played tag with 7 kids on monday and 13 kids on tuesday. She played cards wtih 20 kids on wednesday.,20.0,20
Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches.,17.0,17
Winter is almost here and most animals are migrating to warmer countries. There are 18 bird families living near the mountain. If 38 bird families flew away to africa and 80 bird families flew away to asia,118.0,118
Rachel's tree had 4 apples. She picked 2 apples from her tree. Thereafter 3 new apples grew on the tree.,1.0,5
Summer is almost here and most animals are migrating back to cooler countries. There are 87 bird families living near a mountain. If 18 new bird families joined them,105.0,105
Randy has 58 blocks. He uses 27 blocks to build a tower and 53 blocks to build a house.,80.0,80
He has 9 apples more than Adam and Jackie together do. Adam and Jackie have 7 apples between them.,16.0,16
Katie had 78 new games and 86 old games. Her friends had 48 new games.,126.0,17
Josh had 19 marbles in his collection. He lost 11 marbles and found 5 new ones.,13.0,13
Rachel has 52 apple trees. She picked 2 apples from 1 of her trees. Now the tree has 7 apples still on it.,9.0,9
Because of the decision Sofia asked the students to suggest specific types of food. 182 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 166 more students suggested adding bacon than those that suggested mashed potatoes,348.0,36
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 90 chocolate chip cookies yesterday and 51 raisin cookies and 484 chocolate chip cookies this morning.,574.0,517
Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons.,229.0,229
Rachel picked 7 apples from her tree. Thereafter 2 new apples grew on the tree. Now the tree has 6 apples still on it.,11.0,8
Baker made 173 cakes. He bought 103 new cakes and sold 86 cakes.,190.0,192
After Jessie started to go jogging everyday she lost 126 kilograms. She currently weighs 66 kilograms.,192.0,202
Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away 551 of them and only had 177 left.,728.0,728
Jake has 11 fewer peaches than Steven. If Jake has 17 peaches.,28.0,26
If the cave is 919 feet deep and they need to travel 1307 feet,2226.0,no answer
Zachary did 59 push-ups and 44 crunches in gym class today. David did 19 more push-ups but 27 less crunches than zachary.,78.0,78
Katie had 62 new games and 80 old games. Her friends had 73 new games and 41 old games.,121.0,129
Together Adam and Jackie have 12 apples. He has 9 apples more than Adam and Jackie together do. Adam has 8 more apples than Jackie.,21.0,21
Rachel picked 6 ripe apples from her tree. Now the tree has 2 ripe apples and 4 unripe apples.,12.0,12
Ed had 24 more marbles than Doug. Doug lost 27 of his marbles at the playground while Ed found 9 more marbles.,60.0,48
Danny has 12 bottle caps in his collection. He found 53 bottle caps at the park.,65.0,65
"Rachel had to complete 2 pages of math homework, 3 pages of reading homework and 10 more pages of biology homework.",15.0,15
Baker made 110 cakes. He sold 75 of them. Then he made 76 more cakes.,111.0,111
Julia played tag with 14 kids on tuesday. If she played tag with 8 more kids on monday than on tuesday,22.0,22
Allan brought 5 balloons to the park. If Jake brought 6 more balloons than the number of balloons that Allan brought,11.0,11
"18 red peaches, 14 yellow peaches and 17 green peaches are in the basket.",32.0,32
Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do.,20.0,20
Mary is baking a cake. The recipe calls for 6 cups of flour and 13 cups of sugar. She already put in some cups of flour. If she still needs 8 more cups of flour than sugar,21.0,21
Paul got a box of some crayons for his birthday. During the school year he gave 563 crayons to his friends while he lost 558 crayons. If he only had 332 crayons left,1453.0,1485
At the stop 13 more people got on the bus. Initially there were 4 people on the bus.,17.0,17
Paul had some books. After selling 137 in a garage sale he had 105 left.,242.0,262
Last week Fred had 33 dollars and Jason had 95 dollars. Over the weekend Fred delivered newspapers earning 16 dollars and washed cars earning 74 dollars.,90.0,90
Because of the decision Sofia asked the students to suggest specific types of food. If 324 students suggested adding mashed potatoes 374 suggested adding bacon to the menu and 128 suggested adding tomatoes,826.0,826
There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people.,16.0,16
"A grocery store had 57 bottles of regular soda, 26 bottles of diet soda and 27 bottles of lite soda.",110.0,80
Edward spent $ 9. Then he spent $ 8 more. Now he has $ 17.,34.0,32
In a school there are 902 girls and 811 boys. 44 more girls joined the school.,946.0,946
Together Adam and Jackie have 6 apples. He has 4 apples more than adam and jackie together do.,10.0,10
Allan brought 5 balloons and Jake brought 6 balloons to the park. Jake then bought 3 more balloons at the park.,9.0,9
"Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening.",11.0,11
Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park.,8.0,8
"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening.",13.0,13
Haley grew 9 trees in her backyard. After a typhoon 4 died. Then she grew 5 more trees.,10.0,10
Robin cut off 20 inches of his hair. If his hair is now 10 inches long,30.0,30
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 36 inches. The frog jumped 17 inches farther than the grasshopper and the mouse jumped 15 inches farther than the frog.",53.0,55
There are many different books in the ' crazy silly school ' series. If you have read 13 of the books and are yet to read 8 books,21.0,21
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 21 inches. The grasshopper jumped 25 inches farther than the frog and the mouse jumped 16 inches lesser than the frog.",41.0,41
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 512 visitors came to the Buckingham palace that day. If there were 471 visitors the previous day and 808 visitors the day before that",1791.0,1401
Dave had some apps on his phone. After deleting 18 of them he had 5 left.,23.0,23
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 39 inches farther than the grasshopper and the mouse jumped 94 inches lesser than the frog.",58.0,58
Adam has 5 more apples than Jackie. Jackie has 89 oranges and 11 apples.,16.0,16
Paco ate 19 cookies and had 35 cookies left.,54.0,54
Katie had 84 new games and 19 old games. Her friends had 8 new games and 69 old games.,92.0,92
Julia played tag with 13 kids on monday and 10 kids on tuesday. She played cards with 15 kids on wednesday.,38.0,Failed to get answer
Winter is almost here and most animals are migrating to warmer countries. There are some bird families living near the mountain. 20 bird families flew away for winter while 14 bird families stayed behind.,34.0,34
In a school there are 315 girls and 309 boys. There are also 772 teachers,1396.0,1096
Rachel picked 3 ripe apples from her tree. Now the tree has 2 ripe apples and 27 unripe apples.,5.0,5
In a school there are 308 girls and 318 boys. There are also 36 teachers,626.0,624
