question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch>To subtract 16 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? The word problem can be solved by subtracting 600 from 661.  ,<scratch>To subtract 600 from 661, we can think of it as subtracting the digits in each place value. Subtracting 0 and 1 gives 1. Subtracting 6 and 6 gives 0. After subtracting all digits, we get the difference, which is 61. </scratch>,61
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries How many cakes would baker still have? The word problem can be solved by subtracting 10 from 149.  ,<scratch>To subtract 10 from 149, we can think of it as subtracting the digits in each place value. Subtracting 9 and 0 gives 9. Subtracting 4 and 1 gives 3. After subtracting all digits, we get the difference, which is 139. </scratch>,139
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete? The word problem can be solved by subtracting 21 from 24.  ,<scratch>To subtract 21 from 24, we can think of it as subtracting the digits in each place value. Subtracting 4 and 1 gives 3. Subtracting 2 and 2 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon? The word problem can be solved by subtracting 185 from 310.  ,<scratch>To subtract 185 from 310, we can think of it as subtracting the digits in each place value. Subtracting 0 and 5 gives 5. Subtracting 1 and 1 gives 0. Subtracting 3 and 8 gives 5. After subtracting all digits, we get the difference, which is 125. </scratch>,125
Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have? The word problem can be solved by subtracting 2 from 4.  ,<scratch>To subtract 2 from 4, we can think of it as subtracting the digits in each place value. Subtracting 4 and 2 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday? The word problem can be solved by subtracting 9 from 11.  ,<scratch>To subtract 9 from 11, we can think of it as subtracting the digits in each place value. Subtracting 1 and 9 gives 2. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 02. </scratch>,2
36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on? The word problem can be solved by subtracting 12 from 36.  ,<scratch>To subtract 12 from 36, we can think of it as subtracting the digits in each place value. Subtracting 6 and 2 gives 4. Subtracting 3 and 0 gives 3. After subtracting all digits, we get the difference, which is 43. </scratch>,24
Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether How many bags did she find on the next day? The word problem can be solved by subtracting 4 from 6.  ,<scratch>To subtract 4 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 4 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have? The word problem can be solved by subtracting 410 from 1097.  ,<scratch>To subtract 410 from 1097, we can think of it as subtracting the digits in each place value. Subtracting 7 and 0 gives 7. Subtracting 9 and 1 gives 8. Subtracting 4 and 4 gives 0. After subtracting all digits, we get the difference, which is 687. </scratch>,687
Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house? The word problem can be solved by subtracting 20 from 50.  ,<scratch>To subtract 20 from 50, we can think of it as subtracting the digits in each place value. Subtracting 0 and 0 gives 0. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 30. </scratch>,30
2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 5 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,4
Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate? The word problem can be solved by subtracting 16 from 21.  ,<scratch>To subtract 16 from 21, we can think of it as subtracting the digits in each place value. Subtracting 1 and 6 gives 5. Subtracting 2 and 1 gives 0. After subtracting all digits, we get the difference, which is 05. </scratch>,5
After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day? The word problem can be solved by subtracting 295 from 317.  ,<scratch>To subtract 295 from 317, we can think of it as subtracting the digits in each place value. Subtracting 7 and 5 gives 2. Subtracting 1 and 9 gives 8. After subtracting all digits, we get the difference, which is 22. </scratch>,22
Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 5 and 0 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon? The word problem can be solved by subtracting 42 from 408.  ,<scratch>To subtract 42 from 408, we can think of it as subtracting the digits in each place value. Subtracting 8 and 2 gives 6. Subtracting 0 and 4 gives 4. After subtracting all digits, we get the difference, which is 366. </scratch>,366
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend? The word problem can be solved by subtracting 13 from 14.  ,<scratch>To subtract 13 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 3 gives 1. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday? The word problem can be solved by subtracting 18 from 19.  ,<scratch>To subtract 18 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 8 gives 1. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar? The word problem can be solved by subtracting 2 from 3.  ,<scratch>To subtract 2 from 3, we can think of it as subtracting the digits in each place value. Subtracting 3 and 2 gives 1. After subtracting all digits, we get the difference, which is 1.</scratch>,1
Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground. How many more marbles did Ed have than Doug then? The word problem can be solved by subtracting 17 from 29.  ,<scratch>To subtract 17 from 29, we can think of it as subtracting the digits in each place value. Subtracting 9 and 7 gives 2. Subtracting 2 and 1 gives 1. After subtracting all digits, we get the difference, which is 12. </scratch>,12
There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read? The word problem can be solved by subtracting 5 from 20.  ,<scratch>To subtract 5 from 20, we can think of it as subtracting the digits in each place value. Subtracting 0 and 5 gives 15. Subtracting 2 and 0 gives 12. After subtracting all digits, we get the difference, which is 15. </scratch>,15
Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now? The word problem can be solved by subtracting 11 from 19.  ,<scratch>To subtract 11 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 1 gives 8. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park. How many more balloons did Jake have than Allan in the park? The word problem can be solved by subtracting 6 from 7.  ,<scratch>To subtract 6 from 7, we can think of it as subtracting the digits in each place value. Subtracting 7 and 6 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have? The word problem can be solved by subtracting 22 from 61.  ,<scratch>To subtract 22 from 61, we can think of it as subtracting the digits in each place value. Subtracting 1 and 2 gives 9. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 39. </scratch>,39
During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all. About how many kids stayed home? The word problem can be solved by subtracting 800059 from 828521.  ,<scratch>To subtract 800059 from 828521, we can think of it as subtracting the digits in each place value. Subtracting 9 from 1 gives 0. Subtracting 5 from 2 gives 7. Subtracting 0 from 8 gives 8. Subtracting 0 from 5 gives 5. Subtracting 8 from 2 gives 6. Subtracting 5 from 1 gives 0. After subtracting all digits, we get the difference, which is 28462. </scratch>,28462
Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park? The word problem can be solved by subtracting 4 from 5.  ,<scratch>To subtract 4 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 4 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,3
A chef had 58 apples. After making some pies, he had used 35. How many apples remained? The word problem can be solved by subtracting 35 from 58.  ,<scratch>To subtract 35 from 58, we can think of it as subtracting the digits in each place value. Subtracting 8 and 5 gives 3. Subtracting 5 and 3 gives 2. After subtracting all digits, we get the difference, which is 23. </scratch>,23
There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut? The word problem can be solved by subtracting 3 from 7.  ,<scratch>To subtract 3 from 7, we can think of it as subtracting the digits in each place value. Subtracting 7 and 3 gives 4. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening? The word problem can be solved by subtracting 4 from 5.  ,<scratch>To subtract 4 from 5, we can think of it as subtracting the digits in each place value. Subtracting 4 and 0 gives 1. After subtracting all digits, we get the difference, which is 1.</scratch>,1
A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking? The word problem can be solved by subtracting 56 from 160.  ,<scratch>To subtract 56 from 160, we can think of it as subtracting the digits in each place value. Subtracting 0 and 6 gives 4. Subtracting 6 and 0 gives 10. After subtracting all digits, we get the difference, which is 104. </scratch>,104
15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day How many campers went rowing in the afternoon? The word problem can be solved by subtracting 15 from 32.  ,<scratch>To subtract 15 from 32, we can think of it as subtracting the digits in each place value. Subtracting 2 and 5 gives 7. Subtracting 3 and 1 gives 2. After subtracting all digits, we get the difference, which is 17. </scratch>,17
Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes? The word problem can be solved by subtracting 479 from 489.  ,<scratch>To subtract 479 from 489, we can think of it as subtracting the digits in each place value. Subtracting 9 and 9 gives 0. Subtracting 7 and 8 gives 1. After subtracting all digits, we get the difference, which is 10. </scratch>,10
Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles How many marbles did Doug have initially? The word problem can be solved by subtracting 5 from 27.  ,<scratch>To subtract 5 from 27, we can think of it as subtracting the digits in each place value. Subtracting 7 and 5 gives 2. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 22. </scratch>,22
Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete? The word problem can be solved by subtracting 4 from 7.  ,<scratch>To subtract 4 from 7, we can think of it as subtracting the digits in each place value. Subtracting 7 and 4 gives 3. After subtracting all digits, we get the difference, which is 3. </scratch>,3
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake? The word problem can be solved by subtracting 231 from 256.  ,<scratch>To subtract 231 from 256, we can think of it as subtracting the digits in each place value. Subtracting 6 from 7 gives 1. Subtracting 1 from 5 gives 4. After subtracting all digits, we get the difference, which is 25. </scratch>,25
Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether How many bags did she have on monday? The word problem can be solved by subtracting 4 from 8.  ,<scratch>To subtract 4 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 4 gives 4. After subtracting all digits, we get the difference, which is 4. </scratch>,4
Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park? The word problem can be solved by subtracting 30 from 63.  ,<scratch>To subtract 30 from 63, we can think of it as subtracting the digits in each place value. Subtracting 3 and 0 gives 3. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 33. </scratch>,33
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left? The word problem can be solved by subtracting 22 from 140.  ,<scratch>To subtract 22 from 140, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 14. Subtracting 4 and 0 gives 10. After subtracting all digits, we get the difference, which is 118. </scratch>,118
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar. How many more cups of flour does she need to add? The word problem can be solved by subtracting 7 from 14.  ,<scratch>To subtract 7 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 7 gives 7. Subtracting 1 and 0 gives 4. After subtracting all digits, we get the difference, which is 07. </scratch>,7
There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase. How many more orchids than roses are there in the vase now? The word problem can be solved by subtracting 11 from 20.  ,<scratch>To subtract 11 from 20, we can think of it as subtracting the digits in each place value. Subtracting 0 and 1 gives 9. Subtracting 2 and 1 gives 8. After subtracting all digits, we get the difference, which is 09. </scratch>,9
After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging. How much does she weigh now? The word problem can be solved by subtracting 35 from 69.  ,<scratch>To subtract 35 from 69, we can think of it as subtracting the digits in each place value. Subtracting 9 and 5 gives 4. Subtracting 6 and 3 gives 3. After subtracting all digits, we get the difference, which is 34. </scratch>,34
22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop? The word problem can be solved by subtracting 2 from 62.  ,<scratch>To subtract 2 from 62, we can think of it as subtracting the digits in each place value. Subtracting 2 and 0 gives 60. Subtracting 6 and 2 gives 58. After subtracting all digits, we get the difference, which is 58. </scratch>,58
There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies How many more books than movies have you read? The word problem can be solved by subtracting 12 from 13.  ,<scratch>To subtract 12 from 13, we can think of it as subtracting the digits in each place value. Subtracting 2 and 3 gives 1. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,1
A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes How many tomatoes and potatoes does he have left? The word problem can be solved by subtracting 172 from 252.  ,<scratch>To subtract 172 from 252, we can think of it as subtracting the digits in each place value. Subtracting 2 and 7 gives 5. Subtracting 5 and 2 gives 3. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 80. </scratch>,80
Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars. How much money did they earn by washing cars? The word problem can be solved by subtracting 111 from 115.  ,<scratch>To subtract 111 from 115, we can think of it as subtracting the digits in each place value. Subtracting 1 and 5 gives 0. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially How many roses did she cut? The word problem can be solved by subtracting 3 from 19.  ,<scratch>To subtract 3 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 3 gives 6. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 16. </scratch>,16
23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus. How many more children got off the bus than those that got on? The word problem can be solved by subtracting 8 from 23.  ,<scratch>To subtract 8 from 23, we can think of it as subtracting the digits in each place value. Subtracting 3 and 8 gives -5. Subtracting 2 and 0 gives -2. After subtracting all digits, we get the difference, which is -25. </scratch>,15
Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon? The word problem can be solved by subtracting 120 from 257.  ,<scratch>To subtract 120 from 257, we can think of it as subtracting the digits in each place value. Subtracting 7 and 0 gives 7. Subtracting 2 and 1 gives 1. Subtracting 5 and 2 gives 3. After subtracting all digits, we get the difference, which is 137. </scratch>,137
After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height? The word problem can be solved by subtracting 9 from 90.  ,<scratch>To subtract 9 from 90, we can think of it as subtracting the digits in each place value. Subtracting 0 and 9 gives 9. Subtracting 9 and 0 gives 90. After subtracting all digits, we get the difference, which is 81. </scratch>,81
Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax How many grams of wax does he already have? The word problem can be solved by subtracting 159 from 628.  ,<scratch>To subtract 159 from 628, we can think of it as subtracting the digits in each place value. Subtracting 8 and 9 gives 7. Subtracting 2 and 5 gives 3. Subtracting 6 and 1 gives 5. After subtracting all digits, we get the difference, which is 469. </scratch>,469
There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket. How many green peaches are in the basket? The word problem can be solved by subtracting 13 from 16.  ,<scratch>To subtract 13 from 16, we can think of it as subtracting the digits in each place value. Subtracting 6 and 3 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday. How many more kids did she play with on monday than on wednesday? The word problem can be solved by subtracting 4 from 6.  ,<scratch>To subtract 4 from 6, we can think of it as subtracting the digits in each place value. Subtracting 4 and 0 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda. How many more bottles than apple did they have? The word problem can be solved by subtracting 36 from 134.  ,<scratch>To subtract 36 from 134, we can think of it as subtracting the digits in each place value. Subtracting 4 and 6 gives 8. Subtracting 3 and 3 gives 0. After subtracting all digits, we get the difference, which is 98. </scratch>,98
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper? The word problem can be solved by subtracting 16 from 37.  ,<scratch>To subtract 16 from 37, we can think of it as subtracting the digits in each place value. Subtracting 7 and 6 gives 1. Subtracting 3 and 1 gives 2. After subtracting all digits, we get the difference, which is 21. </scratch>,21
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared? The word problem can be solved by subtracting 15 from 19.  ,<scratch>To subtract 15 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 5 gives 4. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies. How many more salty cookies than sweet cookies did he eat? The word problem can be solved by subtracting 15 from 28.  ,<scratch>To subtract 15 from 28, we can think of it as subtracting the digits in each place value. Subtracting 8 and 5 gives 3. Subtracting 2 and 1 gives 1. After subtracting all digits, we get the difference, which is 13. </scratch>,13
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Paul had 115 books. He sold 78 books in a garage sale. How many books does he have left with him? The word problem can be solved by subtracting 78 from 115.  ,<scratch>To subtract 78 from 115, we can think of it as subtracting the digits in each place value. Subtracting 5 and 8 gives 7. Subtracting 1 and 7 gives 4. After subtracting all digits, we get the difference, which is 37. </scratch>,37
Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first? The word problem can be solved by subtracting 63 from 84.  ,<scratch>To subtract 63 from 84, we can think of it as subtracting the digits in each place value. Subtracting 4 and 3 gives 1. Subtracting 8 and 6 gives 2. After subtracting all digits, we get the difference, which is 21. </scratch>,84
A grocery store had 67 bottles of regular soda and 9 bottles of diet soda. How many more bottles of regular soda than diet soda did they have? The word problem can be solved by subtracting 9 from 67.  ,<scratch>To subtract 9 from 67, we can think of it as subtracting the digits in each place value. Subtracting 7 and 9 gives 8. Subtracting 6 and 0 gives 6. After subtracting all digits, we get the difference, which is 58. </scratch>,58
A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple. How many bottles of diet soda did they have? The word problem can be solved by subtracting 9 from 17.  ,<scratch>To subtract 9 from 17, we can think of it as subtracting the digits in each place value. Subtracting 7 and 9 gives 8. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 08. </scratch>,8
Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches. How many more peaches does Jake have than Jill? The word problem can be solved by subtracting 3 from 8.  ,<scratch>To subtract 3 from 8, we can think of it as subtracting the digits in each place value. Subtracting 8 and 3 gives 5. After subtracting all digits, we get the difference, which is 05. </scratch>,5
Josh had 20 marbles in his collection. He gave 2 marbles to Jack. How many marbles does Josh have now? The word problem can be solved by subtracting 2 from 20.  ,<scratch>To subtract 2 from 20, we can think of it as subtracting the digits in each place value. Subtracting 0 and 2 gives 18. Subtracting 2 and 0 gives 18. After subtracting all digits, we get the difference, which is 18. </scratch>,18
Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill. How many peaches does Jake have? The word problem can be solved by subtracting 4 from 12.  ,<scratch>To subtract 4 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 4 gives -2. Subtracting 1 and 0 gives -1. After subtracting all digits, we get the difference, which is -1. </scratch>,8
Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peaches How many more peaches does Jake have than Jill? The word problem can be solved by subtracting 5 from 18.  ,<scratch>To subtract 5 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 5 gives 3. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 13. </scratch>,13
A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples. How many more bottles of regular soda than diet soda did they have? The word problem can be solved by subtracting 54 from 83.  ,<scratch>To subtract 54 from 83, we can think of it as subtracting the digits in each place value. Subtracting 3 and 4 gives 9. Subtracting 8 and 5 gives 3. After subtracting all digits, we get the difference, which is 29. </scratch>,29
